"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"1e0ea53167c7b67a965075fcc93f85b4","MICHELLE BASNETT","ZA","26","5","2","4","1","15","1","1","CAP+14","28","CAP+25","179","5:12","CAP+3","5:08"
"7745b35591d8083255191b2f8588be3c","MARISKA SMIT","ZA","30","11","6","5","2","1","3","5","CAP+18","15","CAP+26","176","3:59","CAP+9","5:27"
"0b327194ef2eaeae6522ce2f1aaeae21","GILMARI REYNEKE","ZA","26","1","3","14","9","2","4","4","CAP+14","28","CAP+69","159","4:00","CAP+15","5:21"
"5a0d1772edf5ffec962613d94ad7a009","CHRISTINA LIVADITAKIS","ZW","26","24","1","3","3","6","2","3","CAP+28","36","CAP+16","172","4:31","CAP+4","5:16"
"231df2ef5b4ed6dd9eae8946ae2b82aa","TANHA BOUFFE","ZA","24","17","4","9","4","4","6","12","CAP+21","24","CAP+54","170","4:22","CAP+30","5:58"
"69ac3d50e5334882ad795a17469143ce","GEMMA RADER","ZA","31","23","7","2","6","7","13","2","CAP+28","9","CAP+11","165","4:36","CAP+52","5:10"
"caf0fac3dc6e30ceb96afb9149444508","EMMA HOLLIDAY","ZA","31","4","14","8","10","3","14","6","CAP+14","0","CAP+37","159","4:21","CAP+52","5:44"
"e85c105009412bbc3c93f26f0218563f","MEGAN JOY MCDERMOTT","ZA","31","16","9","11","12","12","9","9","CAP+21","0","CAP+58","154","4:56","CAP+41","5:52"
"cdf68be391fa5914a14cc36c4b2c2b89","MEGAN FAUL","ZA","31","12","18","1","7","9","15","20","CAP+18","0","CAP+3","165","4:44","CAP+52","CAP+13"
"3c63173fef460dc554f1d9eec8556257","ALICIA STOOP","ZA","35","2","18","23","5","5","25","8","CAP+14","0","CAP+104","170","4:27","CAP+56","5:51"
"faa6cc588b6f02a586feedacb308d905","MAXX KLYNSMITH","ZA","28","3","8","22","16","14","8","20","CAP+14","9","CAP+103","146","5:03","CAP+33","CAP+13"
"1446887dfba34bb1bfde982cadea4948","INGY HOSSAM ELDIN","EG","28","20","17","7","19","18","5","10","CAP+24","0","CAP+35","143","5:17","CAP+28","5:54"
"d541ee3f8a7f1029c97c5fdfe5e0067c","MARY JAMIESON","ZA","40","7","18","10","8","21","12","22","CAP+15","0","CAP+56","163","5:44","CAP+45","CAP+19"
"9837d26fe62c9455c2e71839bc96e2a3","SOFIA BENNANI","MA","19","6","18","6","21","22","20","7","CAP+15","0","CAP+28","134","5:47","CAP+53","5:50"
"63aa34cfa891622823761b71fbd97bdc","LAURA HUME","ZW","29","8","5","21","17","17","16","16","CAP+16","18","CAP+101","146","5:16","CAP+52","CAP+7"
"886ab7504a4da19bea79f05e00d60ad9","THEA KRUGER","ZA","31","10","10","17","13","13","24","19","CAP+17","0","CAP+75","148","4:56","CAP+55","CAP+11"
"56d72501cbd19b48e93b0f6ce4ab02cd","JESSICA THOMSON","ZW","30","22","18","18","18","11","7","13","CAP+28","0","CAP+78","143","4:47","CAP+31","5:59"
"56145770344a136c4e8e16b7baf4623b","LIZA-MARI GILIOMEE","ZA","32","14","11","24","14","8","26","11","CAP+19","0","CAP+119","146","4:39","CAP+56","5:57"
"d6dfdf01c034a1d880736c9b94930277","JESSICA SKINNER","ZA","30","18","12","15","26","16","11","14","CAP+22","0","CAP+73","0","5:15","CAP+44","CAP+6"
"d8a1492592c0d3ce63982f716d22bce3","CORA-LEE VAN TONDER","ZA","29","9","18","26","15","10","23","14","CAP+16","0","CAP+150","146","4:46","CAP+54","CAP+6"
"e12a6bbfa6d0dbc74feebee6062bbb8d","ELZAAN GOOSEN","ZA","29","25","14","13","11","20","17","17","CAP+28","0","CAP+63","159","5:39","CAP+52","CAP+9"
"7c9e0e0d7e04f188fe78c3314db86423","MAXINE SMIT","ZA","29","15","13","20","25","26","10","17","CAP+20","0","CAP+96","121","CAP+43","CAP+42","CAP+9"
"8583756468f75e93aa94a21d93e5536c","TAMMY TAYLOR","ZA","39","19","14","12","20","24","19","24","CAP+23","0","CAP+58","143","CAP+14","CAP+53","CAP+21"
"1cb84e3b9da4c4d3f5cfe8afbe4b236a","ASMA DEROUICHE","TN","34","13","18","19","23","23","22","22","CAP+18","0","CAP+95","123","5:51","CAP+53","CAP+19"
"190358b20bb5397abecb0a7e3ffae4a9","INGE VON MANSBERG","ZA","22","21","18","16","22","19","21","25","CAP+28","0","CAP+74","123","5:18","CAP+53","CAP+22"
"900fdec11d489f3d13c0ad0beac4119f","KARLA VAN STADEN","ZA","22","27","18","25","24","25","18","26","CAP+32","0","CAP+123","121","CAP+28","CAP+52","CAP+41"
