"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"af69868d8d2e778a85d70fa3c16a9c11","JASON SMITH","ZA","39","1","3","9","7","8","4","1","25:56","34","CAP+28","258","3:44","13:57","4:29"
"85f06d704808662abaa1e8a1d7e58ffb","CONRAD WINNERTZ","ZA","22","11","6","6","4","14","3","13","29:10","27","CAP+16","265","3:56","13:17","5:10"
"2ffc011c1cceaabd1de1d34e52741a43","RUAN POTGIETER","ZA","26","9","1","25","3","20","1","3","29:03","42","CAP+70","269","4:14","11:05","4:42"
"e572a99a91104009284b7cbeffbab370","DARREN ZURNAMER","ZA","22","24","2","14","2","13","2","7","CAP+14","38","CAP+37","269","3:56","12:54","4:50"
"734155aec5b595b9ffe89017eb39e2e8","JOSH KERNOT","ZA","27","16","5","15","13","5","8","2","CAP+6","30","CAP+37","243","3:37","CAP+12","4:34"
"ec02f1fd11cce8bd287b3f49fa0e6f64","DANIEL GRIESEL","ZA","27","2","15","5","11","19","5","8","26:30","8","CAP+8","254","4:12","14:34","5:02"
"3cd90cb204ccb99acae7fbbb01341c92","JAMES VAN DONGEN","ZA","23","7","4","10","24","10","9","4","28:59","32","CAP+31","212","3:47","CAP+16","4:43"
"bb0761c21ffb5affb309f8d84f0938fc","JUSTIN HOLLIDAY","ZA","28","4","25","2","9","1","16","22","27:33","0","16:29","256","3:24","CAP+29","5:34"
"32e40d2f3d855654c64f2ba48c90b534","DUTOIT BOTHA","ZA","29","6","28","12","5","2","18","11","28:41","0","CAP+36","260","3:29","CAP+30","5:07"
"00eb898f14357f41dd8028b54b4a9ce3","ASSEM EFFAT","EG","32","19","18","7","6","6","14","11","CAP+6","5","CAP+24","258","3:40","CAP+28","5:07"
"49318b1bd8548e3f331cca1fd4efc964","RUAN CONRADIE","ZA","28","25","10","3","15","16","11","14","CAP+14","19","16:47","243","3:58","CAP+26","5:11"
"bfc3acd62ee99405cd1e262db56fb42b","MATTHEW SCHIFF","ZA","29","23","14","22","12","3","15","10","CAP+10","9","CAP+55","251","3:34","CAP+28","5:05"
"11e4b60c9b7a6c90ef674e0e7eaadbd7","DAMIEN BOTES","ZA","28","5","17","24","22","4","25","6","28:22","6","CAP+56","225","3:36","CAP+52","4:46"
"5579613b3a2da8ec685f4320c8b86c9a","DRISS BOUCHIAH","MA","27","10","8","26","27","9","22","5","29:04","23","CAP+73","198","3:46","CAP+35","4:45"
"df0bc6df762002ef9764737206797003","JULIAN LIEBENBERG","ZA","27","12","18","8","14","7","21","24","29:25","5","CAP+27","243","3:41","CAP+31","5:39"
"04ba26198c651acdc0c13cddc20eb9d5","ROBERT HEUER","ZA","33","21","7","23","16","23","6","25","CAP+6","26","CAP+55","243","4:20","CAP+10","5:51"
"7907e2f12b5bd2f73e2573bf3edd5b7b","KEEGAN MUIR","ZA","27","20","26","17","17","11","12","16","CAP+6","0","CAP+39","236","3:52","CAP+27","5:14"
"c5daa693d00801f4facbd9af5ed20e62","AMR SALEH","EG","26","14","26","4","23","25","23","9","29:44","0","CAP+6","223","4:27","CAP+51","5:03"
"2b5284a6cafc9d8d788f0f09026d5ee8","HILMAR VON MANSBERG","ZA","26","26","13","18","8","21","17","23","CAP+15","10","CAP+41","258","4:15","CAP+30","5:36"
"7affa193d7dacbd60361d69723526adc","YOUSSEF EHAB","EG","23","17","11","13","20","22","26","20","CAP+6","18","CAP+37","231","4:19","CAP+53","5:31"
"2b5b9fc1a06e66a838bf3c627c6c0e54","HAMZA MAHIR","MA","27","15","22","20","25","24","7","21","29:54","1","CAP+51","209","4:26","CAP+12","5:33"
"85148334e9640a306aa1454c47aebef5","EDUAN TROSKIE","ZA","29","13","30","28","19","15","13","15","29:26","0","CAP+82","231","3:57","CAP+27","5:12"
"0b39a1ab13a68636389952f27d865c6e","ELSAYED HASONA","EG","34","28","22","11","1","28","24","26","CAP+19","1","CAP+35","278","4:38","CAP+52","CAP+6"
"a3fb08b0b6439a9fc83ee999f9babd0c","ROSS LOW","ZA","23","18","24","29","26","17","10","18","CAP+6","0","CAP+96","207","4:03","CAP+21","5:26"
"9d8a7839f06710baca6cdfe3e6c18517","JASON DICKS","ZA","32","29","21","19","10","18","27","18","CAP+22","4","CAP+41","256","4:12","CAP+53","5:26"
"349eb4166111ea0004e19d678ba646fc","WILLEM SNYMAN","ZA","33","27","20","21","28","26","20","17","CAP+18","4","CAP+54","198","4:27","CAP+30","5:19"
"5bd95dd876d2cef417cace16fdf28e6a","DANE NAUDE","ZW","20","30","12","27","21","27","19","26","CAP+32","17","CAP+75","231","4:35","CAP+30","CAP+6"
