"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"97e0f3176d93e138c12afcb2197d1259","ARTHUR SEMENOV","RU","30","1","18","1","1","1","6","2","23:40.00","24","14:13","295","03:13.38","12:56","04:45.00"
"dffeefb59059efe836801a80073cfbf9","ANT HAYNES","CN","33","6","8","2","14","6","5","1","24:59.00","34","14:48","250","03:28.00","12:55","04:30.60"
"ae670ff1ee0ca3ab869156bc3a64ae55","MORTEZA SEDAGHAT","IR","28","15","2","3","2","3","2","12","27:30.00","40","15:11","290","03:25.00","11:12","05:19.00"
"37d8afe6ddbd5735cc4b74dfab523104","ANDREI FEDOTOV","RU","29","26","1","4","7","2","1","9","CAP +111","47","15:40","275","03:18.00","10:02","05:12.27"
"fcac275a3facb63923874d1e0e8f79d9","ANATOLII BORISENKO","RU","36","3","14","5","6","9","8","6","24:29.00","28","16:01","280","03:33.00","13:47","04:54.00"
"1f2e69b81b97daf469bf44b34fa5c861","CHANGRIM AN","KR","29","16","21","5","24","14","11","21","27:47.00","17","16:01","230","03:37.59","14:25","05:50.00"
"a5e7ee3358123b38d1a9a01883ee3089","RAM DOVER","IL","36","7","20","7","21","20","13","18","25:25.00","22","16:27","235","03:50.00","14:44","05:43.77"
"cefd71dd79c34dc3ae7ba5f00d862f02","SEUNGJONG KIM","KR","27","10","5","8","8","4","25","5","26:20.00","38","16:45","275","03:26.00","CAP +51","04:52.53"
"2cd8cc6b36cb7e28c61ebe604292a752","KANG KYUNGSUN","KR","31","8","3","9","3","15","10","17","26:02.00","39","CAP +162","290","03:38.00","14:04","05:37.00"
"bad59b45fb3aa47011c9944b1236ef00","RAYMOND SABAT","LB","25","20","4","10","26","26","23","23","CAP +119","38","CAP +161","225","04:08.62","CAP +54","05:52.00"
"1c07225b7d38a151feaeb5f4c3f20b03","EREN KIM","KR","30","17","6","11","5","13","15","16","28:18.00","35","CAP +155","285","03:36.44","CAP +75","05:34.34"
"81e2edb510a1b344b45ed93d32e8f8ef","DANNY VORONOV","IL","27","18","15","12","11","12","17","7","28:23.00","27","CAP +150","265","03:35.00","CAP +70","05:02.00"
"d90dc14ee3b53976feb1bfa4870a45f2","RUSLAN MIFTAKHOV","RU","27","9","12","13","17","11","4","8","26:08.00","30","CAP +150","245","03:34.00","12:46","05:05.81"
"c0881120621903659f3de5f45924a264","ANTON YAKOVLEV","RU","30","4","11","14","25","7","19","10","24:46.00","30","CAP +147","225","03:31.00","CAP +55","05:15.62"
"c0684b47bbd45a2ce8c526ecf704e962","JEONGHEON YEO","KR","27","5","22","15","15","16","12","15","24:54.00","13","CAP +146","250","03:38.00","14:27","05:34.06"
"ba3019ce60ab95c854581a6218cf9e61","LUKE TWEDDELL","AE","33","14","23","16","28","28","18","21","26:56.00","13","CAP +143","205","05:08.00","CAP +65","05:50.00"
"3d7d7d09ad268ad50e4b82cd4b69be06","ILYAS KULIEV","RU","27","2","6","17","10","5","3","4","23:48.00","35","CAP +135","265","03:26.00","12:07","04:49.16"
"b05c6595999bc76339b2d29ee63a0764","WOOYOUNG LIM","KR","35","22","28","18","19","25","9","24","CAP +117","0","CAP +135","245","03:58.00","13:57","05:59.78"
"e1b29ac70288bb68afc6ecfc43d004ef","MEYSAM ROHANI","IR","23","11","17","19","18","19","20","3","26:22.00","27","CAP +132","245","03:48.00","CAP +54","04:46.27"
"45aa764a7c1db846b79042dbd7ba0e42","MEVLÜT AGIR","TR","29","19","16","20","16","10","22","14","CAP +120","27","CAP +130","245","03:33.77","CAP +54","05:31.00"
"9f34cea72b1307cbe4dfe35bdc1d72d9","YU-SEN ZHU","TW","26","27","10","21","9","18","28","13","CAP +110","30","CAP +127","275","03:47.66","CAP +50","05:26.34"
"1f7b6ba1d08344ebc49a1ad53a3074b7","KAZUHIRO MISAWA","JP","38","29","25","22","22","24","16","27","CAP +109","6","CAP +125","235","03:56.00","CAP +71","CAP +107"
"8921a4086aa08b64f8b3b3a793770128","CHEN SHENG","CN","26","24","19","23","4","21","7","19","CAP +113","23","CAP +123","290","03:52.18","12:56","05:47.80"
"41e878702657cfdd7e203e5a4f97f0b8","TAEHYUNG KIM","KR","34","25","26","24","12","22","21","28","CAP +111","5","CAP +122","255","03:52.93","CAP +54","CAP +102"
"5d721bff568de121b67f472d0241341b","RIKKA KIM","KR","29","23","26","25","27","17","26","20","CAP +116","5","CAP +110","220","03:45.00","CAP +51","05:49.00"
"00de6dcbe1a050774fb4a8709bb32554","HYUNSU KIM","KR","32","12","13","26","13","23","14","11","26:40.00","29","CAP +110","255","03:53.00","CAP +78","05:16.30"
"61cd6502b6a2b61578cb30b929c13b20","SEOKBEOM KIM","KR","30","21","28","27","20","8","24","25","CAP +119","0","CAP +39","240","03:32.00","CAP +51","CAP +115"
"c86f54135e7a2d605f4aefc125f86d13","JINSAM KIM","KR","29","13","24","28","23","27","27","26","26:49.00","8","CAP +10","235","04:10.00","CAP +51","CAP +114"
