"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"ac7f3752415759eb9ab4c122685844f9","GABRIELA MIGAŁA","PL","24","3","14","1","3","2","4","4","24:34.26","37 rep","12:08.95","200.0 lb","03:15.22","12:12.75","04:17.02"
"f1eec0c8141d91947f4acc88e18fd695","ANNIE THORISDOTTIR","IS","33","7","8","2","5","8","2","7","25:15.19","45 rep","12:08.97","195.0 lb","03:29.20","11:25.61","04:24.07"
"24f153b597cb63711d1644ba223d3f38","LAURA HORVATH","HU","26","23","4","4","2","18","1","1","26:39.11","49 rep","12:36.59","210.0 lb","03:38.55","10:40.27","04:09.16"
"77312d4e0b39ca8390f2614b751e2ab5","EMMA TALL","SE","31","10","1","7","16","11","5","6","25:24.64","54 rep","13:14.86","185.0 lb","03:32.74","12:13.57","04:18.68"
"5d5cc4fc3c7995a0d9d5a7b7f349b2d1","KARIN FREYOVÁ","SK","28","4","13","10","1","3","16","13","24:46.82","38 rep","13:38.14","210.0 lb","03:17.57","13:58.00","04:31.31"
"aa9aae5849c39cba5e872df41c132008","MATILDE GARNES","NO","27","16","6","11","14","4","19","9","26:18.46","47 rep","14:03.26","185.0 lb","03:18.49","14:10.67","04:26.27"
"511b0025bbf6a1cb773f236c5386741a","MANON ANGONESE","BE","30","13","7","8","6","29","8","14","25:54.46","47 rep","13:16.71","195.0 lb","03:45.05","12:57.05","04:33.39"
"5fc59474362e3bf19026e152baa96e17","ELLA WUNGER","SE","25","12","10","18","24","10","10","3","25:52.88","41 rep","14:59.55","180.0 lb","03:31.84","13:14.55","04:16.33"
"c21535956f001613a01860807417e219","ELISA FULIANO","IT","27","25","3","21","10","24","3","20","26:49.80","49 rep","15:40.30","190.0 lb","03:41.38","11:41.07","04:44.80"
"855e2fab006ab3b8aa1e1acbeacf575b","EMMA MCQUAID","IE","33","8","21","5","17","13","27","16","25:16.11","31 rep","12:45.52","185.0 lb","03:33.14","14:55.09","04:36.88"
"67035a730d714a0ab8e464a301bc5986","REBECKA VITESSON","SE","29","27","18","33","15","5","14","2","26:53.15","31 rep","CAP+2","185.0 lb","03:22.20","13:44.30","04:13.63"
"c7147cc1162cdeb48d8056277a695570","JACQUELINE DAHLSTRØM","NO","31","28","12","14","20","23","13","5","26:56.00","39 rep","14:33.93","185.0 lb","03:41.20","13:39.47","04:17.74"
"364df3a8af96ac437b5698487e076392","LINDA KEESMAN","NL","29","30","31","15","7","9","20","10","27:14.54","23 rep","14:34.72","190.0 lb","03:31.19","14:19.78","04:26.73"
"1e6d8f021ec2f5184e85fcc25fce2200","OIHANA MOYA","ES","27","19","42","17","8","12","15","18","26:29.50","9 rep","14:51.96","190.0 lb","03:33.05","13:55.53","04:40.09"
"3133437424ad546eb5640d83d960642a","THURIDUR ERLA HELGADOTTIR","IS","31","52","5","31","19","22","6","12","CAP+3","48 rep","16:44.75","185.0 lb","03:41.03","12:19.32","04:29.68"
"531f4c3261080898603865919c4d0756","JENNIFER MUIR","GB","23","1","57","3","23","6","55","25","23:47.68","0 rep","12:25.97","180.0 lb","03:26.50","CAP+36","04:51.85"
"10077dccbbe77be4913ef97116aea521","ANDREA SOLBERG","NO","27","35","53","6","41","7","11","8","27:43.78","2 rep","13:01.62","165.0 lb","03:27.63","13:14.78","04:25.50"
"57af97e6537e62f784780afd944e216c","MADELEINE PERSSON","SE","31","2","18","12","42","20","33","28","24:31.18","31 rep","14:19.76","165.0 lb","03:40.26","CAP+7","04:55.94"
"1a43babeb857fe0c76f28a07ac469bbe","RAGNHEIÐUR SARA SIGMUNDSDOTTIR","IS","30","11","26","13","18","14","56","19","25:38.21","28 rep","14:28.67","185.0 lb","03:33.83","CAP+51","04:41.63"
"7ba35a743dcdcb6bdb7b4b3bb51bba3b","AIMEE CRINGLE","GB","24","5","35","37","50","1","29","15","24:50.26","21 rep","CAP+7","160.0 lb","03:12.18","15:43.12","04:35.02"
"e161e4f6ab2f79a43cd308216cc3cb75","TAYLA HOWE","GB","26","34","16","24","13","35","9","29","27:43.24","34 rep","16:17.39","190.0 lb","03:51.54","13:05.95","04:57.31"
"9e6333a051ba6359f43c4ae1cc10fb3b","CAMILLA SALOMONSSON HELLMAN","SE","32","15","27","9","44","37","21","17","26:11.60","27 rep","13:24.58","165.0 lb","03:54.15","14:23.08","04:39.66"
"6c67bb57e363e422eebbf92ce66aa15f","CLAUDIA GLUCK","FR","24","58","2","27","32","39","7","22","CAP+13","50 rep","16:28.74","175.0 lb","03:55.48","12:54.73","04:49.58"
"c44277b5538cf18a99d2939e04180a49","SOLVEIG SIGURDARDOTTIR","IS","28","26","24","44","9","15","18","51","26:52.00","29 rep","CAP+15","190.0 lb","03:34.09","14:09.91","05:41.46"
"7e9e73ec71f9e1c7ab67b84b3ba32fe6","VERENA EVELYN REIMERS","DE","30","17","30","20","31","33","36","23","26:18.72","24 rep","15:35.36","175.0 lb","03:49.16","CAP+10","04:50.68"
"80fb5bb523b6e86e1c9d9fdb4f2861be","JASMIEN VAN ARNHEM","BE","25","42","34","48","12","28","12","30","28:26.44","21 rep","CAP+17","190.0 lb","03:44.97","13:17.50","04:58.62"
"ddae78e9dc34ae3c6496116afcb77367","ELENA CARRATALA SANAHUJA","ES","29","46","23","22","25","38","23","26","29:18.08","30 rep","16:00.45","180.0 lb","03:55.01","14:32.91","04:54.99"
"9420d1d39d690d44b1550a9570d882b6","NOORTJE BLEEKER","NL","26","20","29","29","33","42","50","11","26:31.44","26 rep","16:37.68","175.0 lb","03:56.75","CAP+29","04:27.67"
"23e6a33f0cdeb9a2218add5560f3ca00","MARIE ROBIN","FR","26","49","43","45","4","34","24","33","29:53.21","9 rep","CAP+15","200.0 lb","03:50.39","14:33.06","05:01.98"
"ac3a620c899960cc9e1da1f3d8547945","ALINE WIRZ","CH","29","21","9","55","53","31","42","24","26:36.92","45 rep","CAP+41","160.0 lb","03:48.68","CAP+24","04:51.47"
"98190abe67689de041a352fc12f1977f","MARIBEL GALLARDO","ES","25","36","18","26","45","40","26","40","27:50.60","31 rep","16:26.28","165.0 lb","03:55.48","14:46.07","05:12.32"
"f33cf34360cbc96c87efedc492f763e0","CAROLINE MUELLER-KORN","DE","29","6","48","30","52","21","53","44","24:58.85","6 rep","16:42.86","160.0 lb","03:40.94","CAP+30","05:23.30"
"a0a43896ff8bd12e8e606aeff3c0feb9","JULIA BLAZEJOWSKA","PL","22","45","10","19","47","46","39","42","29:16.95","41 rep","15:14.83","165.0 lb","04:02.51","CAP+22","05:13.62"
"a2ee77fadc727e07f9ffdd54749b4bba","FRANZISKA HÖGER","DE","29","31","37","23","26","41","45","27","27:29.47","19 rep","16:11.76","180.0 lb","03:56.72","CAP+27","04:55.41"
"977c9b72e0ab0758765bd638acd36212","ANDRA MOISTUS","EE","27","9","56","54","55","17","28","38","25:18.41","0 rep","CAP+40","155.0 lb","03:35.60","15:29.77","05:11.23"
"172d4c2542b166cb3386c71bec0ba554","METTY GRENERON","FR","25","33","40","43","11","27","43","46","27:37.08","14 rep","CAP+13","190.0 lb","03:43.39","CAP+25","05:27.41"
"07a7eb3c4f44c5b4c9a426c456930379","NICOLE HEER","CH","31","22","52","42","29","26","31","34","26:38.91","2 rep","CAP+12","175.0 lb","03:43.36","15:52.91","05:08.37"
"6cea33b2f1a4cb03c3c482312f4c1c37","HOLLY TYNAN","IE","22","18","44","35","34","43","34","37","26:26.37","9 rep","CAP+4","175.0 lb","03:57.59","CAP+9","05:09.55"
"61190eef267cf957bf418c95b1825329","SANNA VENÄLÄINEN","FI","32","53","22","38","38","45","22","39","CAP+4","30 rep","CAP+7","170.0 lb","04:02.02","14:28.96","05:11.24"
"10efe7a1a29fd0d5b9051f60d0440e43","EMIKO NAETS","CH","33","37","15","34","48","53","44","31","27:53.41","35 rep","CAP+2","165.0 lb","04:18.64","CAP+26","04:58.75"
"9914ecc5f213f382c61ca94c382eff40","MARGAUX MASSET","FR","27","48","51","16","56","19","40","45","29:38.50","3 rep","14:41.34","155.0 lb","03:39.21","CAP+23","05:26.84"
"d3281fe4dca7cfa9a32c9b9cd7082e06","SILVIA GARCIA IZQUIERDO","ES","29","47","17","51","51","16","48","49","29:24.61","31 rep","CAP+26","160.0 lb","03:34.99","CAP+29","05:33.50"
"24d129fb10617be83d343f9b290b6d7b","EVIE HOLLIS","GB","26","39","33","36","46","44","17","57","28:07.72","22 rep","CAP+6","165.0 lb","04:00.13","14:02.64","CAP"
"31f8600e713fb50390531af6706d1fbf","AOIFE BURKE","IE","32","38","49","32","35","47","47","21","27:54.48","4 rep","CAP+2","175.0 lb","04:03.71","CAP+29","04:47.24"
"80509954080a9ea7b4c9cca52bc27cb3","LUCY MCGONIGLE","IE","16","55","31","39","21","50","41","35","CAP+5","23 rep","CAP+7","185.0 lb","04:10.03","CAP+24","05:09.20"
"453241b2fd17bbf556fa85a876b615a1","VANESSA WAGNER","AT","32","44","50","49","28","25","38","41","28:39.67","3 rep","CAP+25","175.0 lb","03:41.81","CAP+21","05:12.56"
"90afce7d020ea5f725bcc65dd033eed4","ANGELICA BENGTSSON","SE","36","24","55","28","22","57","52","47","26:44.32","0 rep","16:35.42","185.0 lb","04:23.74","CAP+30","05:28.68"
"df5b81c63196397802d0d71d17ef99f5","MARTYNA KRYSIAK","PL","33","29","36","41","54","48","32","36","27:03.47","20 rep","CAP+10","160.0 lb","04:06.86","15:55.47","05:09.34"
"dd0977685e2bd01be423d48a79ee91ab","SARA ALICIA FERNANDEZ COSTAS","ES","33","43","28","25","36","55","53","54","28:27.71","26 rep","16:20.49","175.0 lb","04:19.74","CAP+30","05:50.34"
"e44b76aa13cbce1bb260701707b865a6","JEROMINE GEROUDET","FR","33","14","58","45","43","36","59","53","26:10.49","0 rep","CAP+15","165.0 lb","03:52.93","CAP+52","05:49.44"
"d81ee0fc21a07536d71c9c8cf9346bc7","JASMINE GHILARDI","IT","25","59","25","59","39","52","25","48","CAP+25","29 rep","CAP+77","170.0 lb","04:14.79","14:39.88","05:31.59"
"5b3a25336fc34dfe7ebfadc558a03924","KRISTINA VASIC","RS","27","41","45","53","30","30","51","57","28:24.94","8 rep","CAP+36","175.0 lb","03:47.19","CAP+29","CAP"
"335a9d07a564f9249a0a4f10553c8ca6","VALENTINA MAGALOTTI","IT","33","50","58","57","58","32","30","32","29:58.07","0 rep","CAP+52","145.0 lb","03:49.11","15:46.77","05:00.06"
"db8aeb78e010c985627fc7f043b92570","MATILDA SPANOU","GR","29","57","39","40","37","56","37","55","CAP+10","15 rep","CAP+9","175.0 lb","04:21.29","CAP+21","05:55.75"
"15d1952cf8b27a4f2711f7891a69c9b8","LAURIE CLÉMENT","FR","36","32","41","50","59","49","46","52","27:33.47","12 rep","CAP+25","145.0 lb","04:08.61","CAP+29","05:41.65"
"4fe3caf56182fb7d1b755151b1f578d5","PAULA ZIKOWSKY","AT","27","51","38","47","27","59","57","59","29:58.54","17 rep","CAP+17","180.0 lb","05:23.63","CAP+51","CAP+5"
"417f5eb680fed2de04a209eb33df6c3f","SUSAN TREPPNER","DE","28","56","54","52","40","54","35","56","CAP+8","0 rep","CAP+31","170.0 lb","04:19.57","CAP+10","05:56.84"
"d9ae016ff28a9e75bb32bb17c9f61a46","ISELIN BROGELAND","NO","32","40","46","56","57","51","49","50","28:08.86","8 rep","CAP+43","155.0 lb","04:14.45","CAP+29","05:35.36"
"d42866477c9a28968a8c3382353adbcc","KAY WIRKNER","DE","28","53","47","58","49","58","58","43","CAP+4","7 rep","CAP+57","165.0 lb","04:26.19","CAP+51","05:21.59"
