"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"750939afeb6c43a9e565fddcd894d591","LAZAR ĐUKIĆ","RS","27","2","3","3","5","12","4","9","22:34.66","50 rep","13:17.76","280.0 lb","03:14.65","10:39.74","04:22.69"
"3ae7ef0bda6ff702df163f8c6cb27b69","HENRIK HAAPALAINEN","FI","28","3","8","11","9","10","8","3","22:37.81","47 rep","14:34.69","275.0 lb","03:13.88","11:18.01","04:14.34"
"d58a51bce9ee27e535a527c3ecca22da","MORITZ FIEBIG","DE","28","8","5","8","4","8","36","4","23:21.85","49 rep","14:27.09","280.0 lb","03:13.26","14:35.09","04:15.75"
"35de9a7838069980a88a3a866ec96422","JELLE HOSTE","BE","28","1","15","33","8","1","16","1","22:05.34","41 rep","CAP+10","275.0 lb","02:56.25","12:23.57","04:06.87"
"afdd6862e924be00fbe369bb0eeb357e","JONNE KOSKI","FI","28","15","1","18","11","15","2","8","24:07.91","57 rep","15:15.33","275.0 lb","03:17.35","09:39.70","04:18.82"
"6e26ff264682e241d9c5bf995f6f922c","ULDIS UPENIEKS","LV","25","11","13","26","20","5","6","5","23:39.02","42 rep","16:37.95","265.0 lb","03:10.80","11:06.76","04:15.93"
"13e83eb644517bdadaa194b14f15388b","DAVID SHORUNKE","GB","33","4","37","1","19","4","15","13","22:46.98","28 rep","12:26.68","265.0 lb","03:10.79","12:22.74","04:25.76"
"30f86cd8d7107ab523c380e9fdd70b94","BJÖRGVIN KARL GUÐMUNDSSON","IS","30","6","25","25","3","11","3","16","22:57.45","37 rep","16:32.19","285.0 lb","03:14.64","10:06.81","04:33.69"
"903523a901d5560f3b2d8c183ee82499","BRONISLAW OLENKOWICZ","PL","34","17","14","2","1","36","14","21","24:21.58","41 rep","13:13.08","295.0 lb","03:30.01","11:59.63","04:38.69"
"0ca5bf66985f7cdecc42d323df3860c4","MICHAL WESOLOWSKI","PL","30","24","18","5","18","3","29","14","24:48.87","40 rep","13:56.71","265.0 lb","03:10.01","13:18.27","04:27.99"
"12e0349cd8fcaa6d394612e02b5188ec","FABIAN BENEITO","ES","27","30","11","32","10","13","5","12","24:59.10","43 rep","CAP+9","275.0 lb","03:14.76","11:01.00","04:25.57"
"028599aa91a6c7d30fd72cf29dacb03d","COLIN BOSSHARD","CH","22","19","10","38","23","19","9","6","24:32.30","43 rep","CAP+15","265.0 lb","03:19.45","11:27.83","04:17.91"
"a606e42f37cdd515f0ae5e8ff93619e5","VICTOR HOFFER","FR","20","53","5","23","26","33","1","2","28:07.98","49 rep","16:30.01","265.0 lb","03:27.92","09:34.11","04:13.48"
"cd6d2596ea741d781cd770e86d2b2b85","LUKA VUNJAK","RS","23","22","9","21","22","9","28","11","24:41.35","44 rep","15:40.86","265.0 lb","03:13.77","13:16.70","04:25.20"
"3ff07fb78d84ff345227c35c958c66e7","ALEX KOTOULAS","GR","30","18","4","22","16","26","26","20","24:29.59","50 rep","15:45.39","270.0 lb","03:24.07","12:59.05","04:38.49"
"d1fa7a14835078f189d0d9420900953a","ANTOINE DUMAIN","FR","29","37","7","6","21","7","43","30","25:32.20","48 rep","14:14.57","265.0 lb","03:11.49","CAP+26","04:43.62"
"b844cd7cb4978b347e74d8455482f87d","ENRICO ZENONI","IT","25","32","2","13","31","16","33","22","25:11.81","52 rep","14:35.74","255.0 lb","03:19.02","13:35.17","04:40.08"
"2cf51dc41cc16fc21bb321449348b7a0","MARTÍN CUERVO","ES","24","41","12","14","30","14","19","17","26:01.83","43 rep","14:40.96","255.0 lb","03:15.64","12:37.74","04:35.05"
"4e2806f502948b5519b877c260d635ed","VICTOR HELSINGHOF","NO","23","20","24","30","17","2","30","34","24:32.79","37 rep","CAP+3","265.0 lb","03:07.63","13:21.31","04:50.32"
"5f84dad9d6767da302b1c0ec6623c95f","GRZEGORZ MARASZKIEWICZ","PL","27","7","39","10","44","17","40","15","23:14.51","28 rep","14:34.67","245.0 lb","03:19.32","CAP+14","04:28.07"
"2d6ed034eedd8584d2676f64cae177a5","MICHAEL SMITH","IE","31","12","30","28","32","21","11","23","23:40.37","33 rep","16:59.18","255.0 lb","03:21.02","11:43.69","04:40.24"
"6d64066bf560382a6df1a316d802ed99","ANIOL EKAI","ES","26","34","18","20","2","29","35","27","25:23.56","40 rep","15:29.60","290.0 lb","03:25.97","14:11.15","04:41.90"
"a3e3d12f83621ce2948e0bac39c04db3","GUILLAUME BRIANT","FR","29","14","42","7","27","43","21","18","24:07.17","26 rep","14:22.39","265.0 lb","03:36.76","12:39.91","04:35.12"
"97d80ae702430e0e59eda6d91efa49c5","CALUM CLEMENTS","ES","26","39","40","29","12","28","18","7","25:56.71","27 rep","CAP+2","275.0 lb","03:24.66","12:34.07","04:18.23"
"3a0c0d752eeaa75bb65d279d1a4eeff1","LUDVIG HAHNSSON","FI","32","10","33","12","24","20","50","26","23:26.58","30 rep","14:35.47","265.0 lb","03:20.36","CAP+51","04:41.67"
"9d35da9acfcc746d31669010845f51fc","SVEN GEENS","BE","31","21","21","27","25","22","44","10","24:40.78","39 rep","16:52.00","265.0 lb","03:21.13","CAP+28","04:24.10"
"1e6a95abd6ab07566a33812896369883","AUGUSTIN VILIČNIK","HR","33","5","46","15","37","44","17","25","22:48.58","22 rep","14:45.72","255.0 lb","03:39.56","12:31.50","04:41.65"
"a041c5c85986011cf2a21af5960de30d","HARRY LIGHTFOOT","GB","24","13","49","9","46","24","25","24","23:45.29","14 rep","14:30.45","245.0 lb","03:22.03","12:53.51","04:40.71"
"caf791aa237c8113f74da2ba7dbc98a6","SAM PARKIN","GB","31","28","17","37","33","25","10","39","24:54.74","40 rep","CAP+15","255.0 lb","03:23.21","11:42.12","05:01.63"
"52594a6c432df44b586100dfff19fe85","MAX OLIVESTRAND","SE","34","44","48","4","14","46","41","19","26:25.28","20 rep","13:52.68","275.0 lb","03:47.10","CAP+17","04:37.34"
"d4d29dc9e9995e6c132f7766281d3f3a","BRYAN HERNÁNDEZ","ES","25","46","34","47","13","32","7","28","26:57.61","30 rep","CAP+37","275.0 lb","03:27.73","11:09.38","04:43.45"
"8deed553e30fcd23044882fec8041c62","LUIS CUELLAR","ES","21","25","29","41","6","23","45","36","24:49.00","33 rep","CAP+23","280.0 lb","03:21.25","CAP+29","04:57.12"
"f39c3f677ceaf59da9923748164119e9","VICTOR LJUNGDAL","SE","27","50","44","16","29","6","42","29","27:16.16","23 rep","14:55.76","255.0 lb","03:10.87","CAP+22","04:43.59"
"8d7b6f4b8acfe9ff5b130deef3d27c9f","TOMMASO PIERI","IT","26","43","46","34","7","30","39","35","26:12.08","22 rep","CAP+12","280.0 lb","03:26.84","CAP","04:51.70"
"d406ec0945f6c2d62611129784c45b40","EMANUELE BIVIANO","IT","26","45","25","48","15","52","23","31","26:29.53","37 rep","CAP+38","275.0 lb","04:08.16","12:48.43","04:46.28"
"9a069f51b5384b202d4b7f870b39ec1f","FELLONNEAU ROMAIN","FR","26","58","16","50","49","34","12","37","CAP+6","40 rep","CAP+52","235.0 lb","03:28.73","11:50.37","04:58.05"
"dc3b6f97ac725eee4eb8e5aab00368ff","ROK DERNIKOVIC","SI","31","47","37","31","38","45","13","40","27:03.08","28 rep","CAP+3","255.0 lb","03:44.22","11:55.64","05:02.18"
"7bb09c17e3ca4aba7236fbebd9e6a248","BEKA KVERNADZE","GE","27","9","57","49","34","31","49","32","23:24.55","0 rep","CAP+52","255.0 lb","03:27.16","CAP+29","04:47.66"
"e944750b3ae1b09dc9b58bc266893abd","ALEXANDER ANASAGASTI","ES","31","29","43","24","48","39","24","47","24:56.60","25 rep","16:31.37","245.0 lb","03:33.96","12:51.63","05:32.33"
"58b8beac6e2042313b3ac195d3b36114","TOBIAS FOX","DE","29","49","34","17","47","27","46","44","27:15.09","30 rep","15:13.23","245.0 lb","03:24.57","CAP+29","05:18.39"
"8a74b25e9a6f701aa3444aa399b5e2aa","INAXIO ILLARRAMENDI","ES","25","33","31","53","42","38","20","49","25:12.35","33 rep","CAP+73","250.0 lb","03:32.77","12:38.24","05:56.66"
"adb262aac4d7a4c6e033041b2c2986c7","PIETRO ANDERLONI","IT","26","36","23","45","43","47","31","38","25:26.08","37 rep","CAP+37","250.0 lb","03:47.12","13:23.43","04:59.94"
"f13f7d5163133366814f14bfaf7bc0ec","JAISON LONGEARET","FR","28","55","20","51","39","48","22","45","28:21.81","39 rep","CAP+53","255.0 lb","03:47.20","12:43.62","05:21.51"
"b602915d2fcd7c2aab87a051a0fa9aeb","EMILIO ROSSINI","IT","26","52","22","44","50","35","37","43","27:39.62","39 rep","CAP+36","235.0 lb","03:29.04","14:41.48","05:07.25"
