"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"8c8305d031301875eb4419ec87d9c289","EMMA CARY","US","19","5","2","10","10","2","8","1","28:37.29","58 rep","13:27.18","190 lb","03:11.31","12:18.32","04:05.25"
"48dec38d3d76cc5e0770b642a6cc94f3","DANIELLE BRANDON","US","27","1","16","12","6","3","1","2","26:35.48","35 rep","14:04.94","195 lb","03:15.16","10:39.00","04:11.23"
"48956db4b6047f7de91f4856ef2c80a5","AMANDA BARNHART","US","31","4","11","1","8","7","11","6","28:24.97","39 rep","11:46.61","195 lb","03:30.34","12:50.13","04:23.48"
"5298863b1dde5c3cd28412d28e22ccd0","EMMA LAWSON","CA","18","7","1","20","7","4","7","5","28:52.12","61 rep","15:41.41","195 lb","03:17.56","12:03.06","04:20.45"
"129f82680a30cffd3d4302a651f3aa7c","ALEXIS RAPTIS","US","24","15","3","11","11","5","4","4","CAP+4","51 rep","13:57.73","190 lb","03:22.17","11:13.39","04:20.37"
"dfccf401d70c98e753f44df398c94aee","PAIGE POWERS","US","20","20","9","3","4","8","5","8","CAP+5","40 rep","12:25.28","200 lb","03:30.81","11:13.62","04:26.55"
"2b5133ca9afb8b4c40bdeb508aefe32f","SYDNEY WELLS","US","28","9","58","9","34","1","12","14","29:39.91","0 rep","13:20.67","175 lb","03:09.58","13:05.25","04:40.05"
"18fa9531ff9aad06b7dd7122a446da45","FEEROOZEH SAGHAFI","US","28","12","6","8","20","23","21","35","CAP+3","42 rep","13:19.54","185 lb","03:45.83","14:45.60","05:03.61"
"0c9b788004e1d51a2e573110cc0b8248","SHELBY NEAL","US","23","27","13","42","18","16","6","7","CAP+9","37 rep","CAP+13","185 lb","03:41.58","11:29.95","04:25.79"
"ab5a1fdda9de7d96097a24dfe1b99000","CAROLINE STANLEY","US","23","25","4","2","29","22","38","12","CAP+9","48 rep","12:20.49","180 lb","03:45.41","CAP+73","04:35.55"
"7f40beb9b507ee37f5336f4b22c203db","PAIGE SEMENZA","US","31","16","29","5","13","25","17","21","CAP+4","22 rep","12:52.99","190 lb","03:47.30","13:46.45","04:46.11"
"e98de1137a5f73d58fccbd2a7f0fb3d3","ANIKHA GREER","CA","20","40","10","6","31","38","3","15","CAP+14","39 rep","13:04.12","180 lb","04:00.23","10:52.18","04:40.95"
"146403089d1da5f6fb0876db51da71c3","JORDAN SZEWC","US","20","26","23","17","26","12","13","9","CAP+9","30 rep","15:15.57","180 lb","03:34.39","13:14.24","04:34.28"
"0c923fb097cae7b5a14303a0781540ad","BROOKE WELLS","US","28","17","34","30","25","10","15","3","CAP+5","15 rep","CAP+3","180 lb","03:31.85","13:35.80","04:14.24"
"595918dcde1ab114830a80c9a93720a9","CAROLYNE PREVOST","CA","33","38","7","19","27","14","18","11","CAP+13","41 rep","15:40.40","180 lb","03:38.97","14:14.86","04:35.50"
"fb8bff20dfe5869d4b1f2cbca365a85e","ASHLEIGH WOSNY","US","25","19","31","7","2","46","25","24","CAP+5","20 rep","13:19.46","205 lb","04:09.49","15:38.68","04:47.65"
"d49885e4169d11960577b451f335f358","LEXI NEELY","US","20","55","5","24","14","34","9","20","CAP+27","47 rep","16:31.36","190 lb","03:55.08","12:37.59","04:45.92"
"bc22ff1498bc26b3542ae91676a8c9c3","AMANDA FISCHER","US","30","2","38","18","5","29","51","22","27:42.89","10 rep","15:20.73","200 lb","03:50.82","CAP+77","04:46.93"
"7d868d93214a32cf0c3deaf09089e83c","KEARA NAPOLI","US","24","14","40","4","35","9","32","23","CAP+4","9 rep","12:49.01","175 lb","03:31.11","CAP+29","04:47.50"
"6eb732cea1010b326ff1eecca5a42f82","KATELYNN SANDERS","US","30","6","54","16","36","11","26","17","28:42.81","0 rep","15:07.87","175 lb","03:32.25","15:49.06","04:43.67"
"d460754bfcb0024957fdc6bb273e76b3","CALLISTA LANG","US","22","39","8","58","24","6","28","16","CAP+13","41 rep","CAP+73","180 lb","03:29.36","CAP+6","04:41.34"
"d7fb400ac020dfd01ff838dcd3bbd667","SAMANTHA PUGH","US","30","35","20","41","21","24","2","30","CAP+13","32 rep","CAP+13","185 lb","03:46.07","10:46.00","04:55.85"
"baf061b308705fdbcd00b5d40ac0de45","DANIELLE PARAN","US","27","28","47","27","1","43","10","31","CAP+9","3 rep","16:56.48","210 lb","04:08.20","12:46.51","04:56.31"
"a20918505be7740ee74792139d8c37d1","ASHLEY JERUE","US","27","36","15","36","28","17","30","10","CAP+13","36 rep","CAP+9","180 lb","03:41.99","CAP+22","04:35.26"
"ee405927030991a930f3a1c26448a6df","JESSICA ANDROSIK","US","25","44","27","13","9","31","24","38","CAP+17","24 rep","14:09.64","195 lb","03:52.86","15:31.15","05:08.38"
"09956c5931aba5cc7b8e1afd627bac1d","ALLISON RALFS","US","30","10","43","39","12","20","47","27","29:58.00","6 rep","CAP+12","190 lb","03:44.00","CAP+76","04:50.77"
"f360df1c87ee8436f641ac71c92ea3ee","LINDSEY PORTER","US","23","31","17","51","16","41","14","26","CAP+9","34 rep","CAP+34","190 lb","04:04.57","13:29.80","04:49.65"
"7864bc6744bb2b1d3b49a372853fbe90","ALAINA SAVAGE","US","30","24","25","31","48","13","45","13","CAP+9","29 rep","CAP+4","165 lb","03:36.13","CAP+76","04:35.62"
"bfeb3874cef9dfe001db0d4676d57a85","EMMA HARVANG","US","24","33","30","21","3","56","34","40","CAP+12","21 rep","15:49.92","205 lb","04:21.86","CAP+44","05:11.57"
"53c1d18ba8a462cf23a84d8228b47406","KATIE CALYORE","US","30","11","56","43","37","15","27","28","CAP+3","0 rep","CAP+15","175 lb","03:39.40","CAP+1","04:51.00"
"c07bd62f75042882e4464908ec663b30","JESSICA SCHWARTZ","US","25","13","19","38","38","30","33","41","CAP+4","32 rep","CAP+11","175 lb","03:51.02","CAP+35","05:11.68"
"ede4ea2fac336798bc6a419251fa1ca0","SARAH HOGUE","CA","31","8","59","15","53","26","36","34","29:33.82","0 rep","14:56.88","160 lb","03:48.54","CAP+49","05:00.92"
"06c03d5bb644e3572439322296c8f270","LOGAN FILO-LOOS","US","24","23","26","14","40","39","22","56","CAP+8","26 rep","14:36.19","175 lb","04:01.68","15:25.01","05:35.87"
"9f8a14f41c563b2a7b6f6cbadc15f023","EMILY BEROTH","US","26","48","12","28","23","55","46","18","CAP+18","38 rep","CAP+1","185 lb","04:20.49","CAP+76","04:43.93"
"043a15b4bd67836635eda575344e739e","RORAN SCOTT","US","27","50","14","26","17","44","40","36","CAP+21","36 rep","16:55.00","190 lb","04:08.27","CAP+74","05:05.17"
"e994619d906e0ead1810c46cbdf794b0","STEPHANIE GRANGE","US","32","22","18","48","30","33","31","39","CAP+8","33 rep","CAP+26","180 lb","03:53.33","CAP+26","05:10.54"
"8bd8c8ba84ac1c5c5969eddd9104f0bc","MOLLY MCGRANDY","US","27","34","24","32","45","19","42","29","CAP+13","30 rep","CAP+7","170 lb","03:43.75","CAP+76","04:55.15"
"1ad6e494137c0b4ab8606ca9ca0bbef5","DANIELLE KEARNS","US","29","3","32","23","42","53","54","45","28:23.28","20 rep","16:17.31","175 lb","04:14.31","CAP+78","05:19.69"
"830e66951185132de41d166a38f99127","GABRIELLE OCKER","US","28","29","35","40","19","21","43","54","CAP+9","14 rep","CAP+13","185 lb","03:44.86","CAP+76","05:32.80"
"59fb6eae10e6166735aaced6265b36d4","MAKENNA ENSLIN","US","25","47","36","22","15","36","57","48","CAP+18","14 rep","16:15.50","190 lb","03:57.17","CAP+98","05:27.42"
"6ab95bf2452c12357ff87d19502d1d95","LINDSEY DERBY","US","31","30","37","47","32","51","37","19","CAP+9","11 rep","CAP+24","180 lb","04:12.34","CAP+49","04:44.64"
"2938c98b031e0d6a7125783b9cad9093","KARIS DEMI","US","21","58","38","46","22","32","47","25","CAP+35","10 rep","CAP+23","185 lb","03:52.93","CAP+76","04:48.67"
"918c222da70fe0e3a93a2975052ddacf","LYDIA FISH","US","19","52","48","53","52","18","19","37","CAP+23","0 rep","CAP+40","160 lb","03:42.45","14:22.76","05:05.90"
"1a1ce856779e6a5201e2a90af89abc75","TORI DYSON","US","28","59","21","37","44","59","20","47","CAP+35","31 rep","CAP+10","175 lb","04:32.56","14:30.65","05:26.19"
"85d6dcc0fb60d9e2d2f4a88b706b2781","JESSICA KALAGIAN","US","28","32","57","44","49","35","35","32","CAP+11","0 rep","CAP+16","165 lb","03:56.24","CAP+46","04:56.69"
"899036a1a885b8ff22d9647ba91dc223","NICOLE GIBSON-BURKE","US","30","56","28","54","50","50","16","49","CAP+27","24 rep","CAP+45","165 lb","04:11.84","13:41.54","05:27.71"
"11df78f9cf80249ee28410926d345b1b","FAITH STEWART","US","28","53","22","49","56","58","23","43","CAP+26","30 rep","CAP+26","160 lb","04:28.65","15:26.52","05:15.75"
"e957774d6d7b489a3f6b34ad278568b1","MARY HELEN SAUNDERS","US","31","37","46","45","55","28","39","42","CAP+13","4 rep","CAP+22","160 lb","03:49.10","CAP+73","05:13.28"
"aa4a84728b1175e158385b7d7bd70ae0","ALISON STALL","US","35","18","55","25","58","47","55","50","CAP+5","0 rep","16:43.21","155 lb","04:10.41","CAP+82","05:28.22"
"2bb8de8a59498d9699a98e687f51d676","AURORA VELLANTE","US","29","57","33","34","53","27","50","58","CAP+29","17 rep","CAP+8","160 lb","03:48.79","CAP+76","05:40.69"
"64bfdec318994ed72c24320b727160d6","NINA VRAGOVIC","US","24","41","52","35","33","52","44","52","CAP+15","0 rep","CAP+9","180 lb","04:13.45","CAP+76","05:28.69"
"5bca5b31d548ecfa98f0527202d2ea05","STEPHANIE CHUNG","US","31","46","44","57","46","42","41","33","CAP+17","6 rep","CAP+72","170 lb","04:05.51","CAP+76","04:59.13"
"3e5980367cf850a70db657714df8b3b4","ALLY BLODGETT","US","19","51","53","33","47","45","29","59","CAP+23","0 rep","CAP+7","170 lb","04:08.91","CAP+10","05:51.36"
"05a077de3c84943aa9c42c405f82a46c","MAIREAD FOGARTY","US","31","21","50","52","43","57","59","46","CAP+8","0 rep","CAP+38","175 lb","04:22.87","CAP+104","05:24.52"
"8ebd5a78ed1c58435138484e570621c8","BAILEY BENTLEY","US","25","43","49","50","39","37","52","57","CAP+16","0 rep","CAP+30","175 lb","03:58.89","CAP+77","05:37.68"
"1fa2e0c57bcc435f8c14d2eac81fa1d8","RACHEL FRICKER","US","25","49","45","29","51","54","58","55","CAP+18","5 rep","CAP+2","165 lb","04:17.51","CAP+98","05:35.84"
"ac0397625e5c1c6db915a0986dba6256","BECCA MERRITT","US","26","45","42","58","41","48","53","53","CAP+17","7 rep","CAP+73","175 lb","04:11.03","CAP+77","05:31.87"
"7481fe91d6eed04c2e24a7cad487947d","JORDAN MALM","US","26","42","41","55","57","40","56","51","CAP+15","8 rep","CAP+48","155 lb","04:04.19","CAP+84","05:28.37"
"275181bf6846abbbf9bcbb4c16be3c34","MADELINE HELMS","US","26","54","50","56","59","49","49","44","CAP+27","0 rep","CAP+57","155 lb","04:11.53","CAP+76","05:19.36"
