"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"c25e32476639ed4cd743d1069658dfd0","JEFFREY ADLER","CA","29","6","1","4","10","1","4","10","23:56.38","53 rep","13:13.02","285 lb","03:00.79","10:30.73","04:18.78"
"1b309045cc3c5938ffafaf379a879b1f","JAYSON HOPPER","US","25","1","11","2","1","12","12","2","22:18.87","40 rep","12:15.38","305 lb","03:09.47","11:39.06","03:50.90"
"fec2751c5dae50a537fb671dbfeef28b","DALLIN PEPPER","US","21","9","4","8","7","9","7","1","24:14.56","47 rep","13:25.60","290 lb","03:07.91","11:02.09","03:46.40"
"15a40ee6a1f992312986a3165f6616d6","ROMAN KHRENNIKOV","US","28","3","23","3","12","2","6","3","22:55.34","35 rep","12:19.08","280 lb","03:02.97","10:47.21","03:54.82"
"227c5ace724035b3c890e171999878e1","SAMUEL COURNOYER","CA","27","10","7","1","13","10","11","9","24:53.04","45 rep","12:04.90","280 lb","03:08.38","11:37.04","04:18.56"
"b33d96aec6ee99731fa5bd42100664e6","WILL MOORAD","US","34","11","3","20","6","6","2","18","24:54.90","48 rep","14:55.00","290 lb","03:06.38","09:45.16","04:29.80"
"5e761ff4dedd9c3b678e318e4fbe2be6","NOAH OHLSEN","US","32","14","2","5","21","13","1","14","25:18.50","50 rep","13:15.73","270 lb","03:09.47","09:32.70","04:22.12"
"4d8061fd75c0089b24dafd8600cd6cdd","LUKE PARKER","US","29","21","4","17","3","15","9","5","26:33.20","47 rep","14:39.46","300 lb","03:11.39","11:20.32","04:06.73"
"bafdff069b7a3925c0e9771e31d3fea5","ALEX VIGNEAULT","CA","31","4","11","7","8","14","29","4","22:57.04","40 rep","13:20.57","290 lb","03:10.85","14:26.62","03:57.58"
"6ddd9bc9796418f0a8e58508b6d9c2d9","JACK FARLOW","CA","21","13","25","16","2","11","5","15","25:01.02","32 rep","14:18.22","300 lb","03:08.42","10:31.05","04:24.93"
"1475fc4176f0c930b2c62f80ccd2a21d","JAMES SPRAGUE","US","21","2","17","6","25","16","24","7","22:32.21","39 rep","13:15.78","265 lb","03:13.83","13:57.29","04:13.84"
