"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"0eaaffa6f24dd9b8bc32edf80c4b8369","ALEX GAZAN","US","21","15","1","2","43","11","1","3","29:48.89","54 rep","12:26.86","165.0 lb","03:35.34","11:10.37","04:25.50"
"25241743ddb9322eee0d386c10493557","KATRIN TANJA DAVIDSDOTTIR","US","30","8","23","8","11","2","7","9","28:46.00","26 rep","13:39.55","190.0 lb","03:19.62","12:08.36","04:34.64"
"af4fe0966a1c6c5c53418f79f5edd3b2","ARIELLE LOEWEN","US","29","20","2","5","14","10","6","11","CAP+5","54 rep","12:58.40","190.0 lb","03:33.35","11:53.90","04:39.04"
"3e8dcffed0587851c04440d9c5893530","CHRISTINE KOLENBRANDER","US","31","16","8","14","3","20","4","10","29:51.64","43 rep","14:17.09","205.0 lb","03:43.72","11:27.88","04:37.58"
"4c62ee9a1bc569f383c043116c7a0c99","BETHANY FLORES","US","29","6","5","16","26","14","9","2","28:12.87","46 rep","14:35.86","175.0 lb","03:37.14","12:13.06","04:21.26"
"e1a8913a66581db537f011ae67c2c380","EMILY ROLFE","CA","34","2","30","19","41","3","10","1","27:24.47","24 rep","15:14.38","165.0 lb","03:20.70","12:16.43","04:15.28"
"beeee4843c631b830c661109b067419a","OLIVIA KERSTETTER","US","17","10","26","1","4","34","12","14","29:05.22","25 rep","12:13.50","205.0 lb","04:00.32","12:37.43","04:43.39"
"28664633400ffeadcd820d11ff27fca0","ABIGAIL DOMIT","US","25","21","20","26","9","4","16","15","CAP+6","31 rep","16:27.91","195.0 lb","03:24.30","13:24.37","04:45.15"
"8a7fb1e02e2b2a19cfd3bfc7054dfafb","BAYLEE RAYL","US","27","26","10","15","37","24","5","4","CAP+8","42 rep","14:22.33","170.0 lb","03:50.57","11:43.49","04:26.14"
"58704bfc711f2228967a38d1a0d882c8","KELLY BAKER","US","31","22","15","18","12","5","11","30","CAP+7","36 rep","14:55.84","190.0 lb","03:28.07","12:25.57","05:03.97"
"825e82f32cf76c5b65837d8c59295a34","DANI SPEEGLE","US","29","14","44","3","5","35","13","13","29:31.90","14 rep","12:43.22","205.0 lb","04:01.04","12:43.82","04:39.66"
"516eafb913c20cb7ad47a2d5e47adc02","KLOIE WILSON","US","25","12","36","12","7","13","17","24","29:22.08","21 rep","13:56.22","200.0 lb","03:36.71","13:33.88","04:56.16"
"8a65169891c4fc6241ebf6331cf94bf0","LAUREN FISHER","US","29","32","6","31","22","7","14","20","CAP+14","43 rep","16:57.86","180.0 lb","03:30.77","13:06.07","04:48.13"
"3369000f3620f9c8e5be3802cd64e740","EMILY WHITE","US","29","5","43","37","6","1","44","19","28:05.38","15 rep","CAP+5","200.0 lb","03:17.45","CAP+73","04:47.61"
"b192fb2b5981cd731c2408977491f6ab","SYDNEY MICHALYSHEN","CA","23","18","16","7","20","37","19","18","CAP+3","35 rep","13:30.76","185.0 lb","04:02.64","13:37.31","04:47.06"
"800e7ea66674c86748211fb00fa162c1","HANNAH BLACK","US","26","3","40","6","1","31","46","32","27:25.02","17 rep","13:21.89","215.0 lb","03:57.64","CAP+74","05:06.83"
"f34b6f5611b9d89f4bf2570e5792fa37","STACY LERUM","US","29","1","40","9","23","15","46","17","26:51.26","17 rep","13:44.35","180.0 lb","03:38.63","CAP+74","04:46.76"
"2ba0f1d1344ef17e2381b0ee011bfddc","HATTIE KANYO","CA","31","28","17","27","13","8","20","25","CAP+10","33 rep","16:40.41","190.0 lb","03:31.11","13:47.46","04:56.22"
"31b48ef98f90ccf444b96319cf3da04f","KARISA STAPP","US","26","4","58","13","25","12","28","16","27:53.94","0 rep","14:17.06","175.0 lb","03:36.19","15:17.47","04:46.74"
"5a9f4fb93c8bd84fad04529eaafa2318","ELLIA MILLER","US","31","41","12","21","19","28","24","7","CAP+22","39 rep","15:48.29","185.0 lb","03:56.27","14:20.64","04:32.78"
"8d8fa1cec6768344dd5dc6ae9969618e","REBECCA FUSELIER","US","23","59","4","33","33","32","3","12","CAP+44","46 rep","CAP+2","175.0 lb","03:58.09","11:23.96","04:39.20"
"211aab80eb41ed66279434582185898d","ZOE WARREN","US","24","46","9","4","27","16","52","40","CAP+24","43 rep","12:53.03","175.0 lb","03:39.05","CAP+74","05:22.48"
"6b8bdc3b55af0e0a1e20145a3e56ca73","ADISON BALDERSTON","US","24","34","7","35","30","21","15","39","CAP+15","43 rep","CAP+2","175.0 lb","03:45.63","13:21.55","05:17.96"
"6a20fc20f3352779d6c979b34564df6a","CHYNA CHO","US","36","9","25","41","35","39","31","8","28:49.36","26 rep","CAP+13","175.0 lb","04:04.93","15:54.38","04:33.20"
"d3c0612541269e206ca17df63094eca7","CHELSEA NICHOLAS","US","35","30","13","25","15","18","40","42","CAP+12","37 rep","16:24.77","190.0 lb","03:40.04","CAP+25","05:25.43"
"2d917309c3fe45eacb9994f5b9842db4","TRISTA SMITH","US","17","35","19","24","40","44","2","31","CAP+15","31 rep","16:21.49","170.0 lb","04:12.00","11:23.88","05:04.24"
"c0d909a8084ecd86de46ca3e4cd0d895","ALLISON WEISS","US","24","44","14","48","55","23","8","21","CAP+22","36 rep","CAP+25","155.0 lb","03:47.69","12:10.20","04:49.39"
"6574e1c135f7ad951cb405f8c8e677dd","GABRIELLE SPENST","CA","25","24","42","10","28","17","42","36","CAP+8","16 rep","13:47.57","175.0 lb","03:39.78","CAP+34","05:16.11"
"e488c51f11bedb65948449d31c081dc2","MADISON MCELHANEY","US","31","29","32","43","2","52","23","34","CAP+11","23 rep","CAP+17","210.0 lb","04:23.93","14:04.04","05:13.14"
"db6006e38b58a1ac42c6c7cfac0e92e7","MEREDITH SWINDLE","US","31","33","37","22","21","38","25","26","CAP+15","20 rep","15:51.22","185.0 lb","04:02.75","14:42.02","04:57.55"
"19c157b538a7308502fdcce41fc758bd","ALISON SCUDDS","US","30","27","21","56","46","51","22","6","CAP+8","27 rep","CAP+37","165.0 lb","04:22.65","13:55.89","04:32.13"
"0f6ccda5b1fd2edd4aefe5d32af20760","TOYA NELSON","US","30","43","18","40","54","6","27","37","CAP+22","31 rep","CAP+7","155.0 lb","03:29.21","15:04.35","05:17.53"
"bd8ad271d3c92af9b05f815243e29d45","FREYA MOOSBRUGGER","CA","21","39","54","36","34","33","21","5","CAP+18","3 rep","CAP+3","175.0 lb","03:58.91","13:53.97","04:28.09"
