"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"46678b2b4d558eede9f0f42778a3e5f8","PATRICK VELLNER","CA","33","15","3","3","6","1","8","1","24:58.03","54 rep","12:24.21","290.0 lb","02:56.39","10:44.87","04:08.48"
"fe342be4ee71e457f7bf7c2863a88ca7","BRENT FIKOWSKI","CA","32","1","5","26","2","2","4","16","23:02.41","49 rep","14:52.86","300.0 lb","02:58.61","10:11.58","04:36.21"
"f974c9539180338c224de7f64fdf9158","SAMUEL KWANT","US","27","5","14","14","9","5","2","4","23:52.13","42 rep","13:27.99","285.0 lb","03:10.11","09:57.03","04:20.42"
"88e6d3e2697fa8d612f29390e1966408","COLE GREASHABER","US","23","3","11","5","10","18","12","7","23:34.43","43 rep","12:33.00","285.0 lb","03:17.28","11:12.06","04:25.79"
"74d5cc0b2ebbbc8c30ef8c2790397cf8","JUSTIN MEDEIROS","US","24","6","10","12","13","24","1","5","23:53.30","46 rep","13:09.38","285.0 lb","03:20.16","08:55.89","04:22.62"
"aa2cbe8a96a72134013b5539a90d9ca3","CHANDLER SMITH","US","30","19","6","2","5","17","14","20","25:19.93","46 rep","12:10.53","295.0 lb","03:17.03","11:28.82","04:38.97"
"d26ef1792c6d329074e36674d31a87a3","NICK MATHEW","US","29","14","4","4","16","12","9","33","24:53.24","49 rep","12:26.94","280.0 lb","03:15.71","10:47.73","04:52.17"
"23a50a2dbc1d864b783d23a8f747b42e","COLTEN MERTENS","US","25","36","2","1","21","38","3","10","27:20.00","56 rep","11:06.99","275.0 lb","03:34.12","10:10.17","04:27.22"
"aeff8a897279726d19ee6738af336c9f","COLE SAGER","US","32","18","12","6","24","32","5","3","25:15.64","42 rep","12:36.14","270.0 lb","03:27.78","10:32.04","04:17.56"
"86710a8ba2cd56b85ac595ba69fc8458","MITCHEL STEVENSON","US","30","7","8","24","42","9","22","8","24:01.88","46 rep","14:45.01","250.0 lb","03:14.27","13:11.00","04:26.10"
"86984b7d35a97dad071f40f0dca95d32","LUIS OSCAR MORA","MX","24","30","18","39","7","7","7","12","26:37.11","39 rep","CAP+3","290.0 lb","03:13.03","10:39.84","04:30.71"
"1c8b52ecd5a4b3fc4a41c679925fabe6","JOHN WOOD","US","28","11","6","13","17","41","34","2","24:30.57","46 rep","13:27.84","280.0 lb","03:35.58","14:59.32","04:12.53"
"19ffcd35e40aa95eea926c126e387cd9","JACK ROZEMA","US","27","17","22","7","11","21","27","13","25:12.49","36 rep","12:45.13","285.0 lb","03:18.56","14:06.08","04:33.27"
"4cfccb32016f5697a5aaa94be74f601f","JUSTIN RHODES","US","25","23","8","31","37","33","10","9","25:46.91","46 rep","16:29.49","255.0 lb","03:28.62","10:59.48","04:26.95"
"aeaaa94ec4b44f68c101d968249c4b7c","MAXIMILIAN KRIEG","US","28","10","25","23","46","3","36","15","24:30.32","34 rep","14:39.01","245.0 lb","03:07.56","CAP+1","04:35.72"
"953f90310686e9e0079f64f4b8b9fd58","SCOTT TETLOW","US","30","27","1","8","51","40","6","46","26:12.99","56 rep","12:46.82","245.0 lb","03:35.29","10:32.11","05:18.33"
"60a47306c00cefa3617a251bddbbc415","CHRIS IBARRA","US","23","24","41","9","30","15","11","22","26:02.98","24 rep","12:54.44","260.0 lb","03:16.84","11:08.88","04:42.03"
"84767eefbd0e442d0601a6a06ec53fc7","ISAIAH VIDAL","MX","30","12","59","36","48","10","13","6","24:49.24","5 rep","CAP+2","245.0 lb","03:14.27","11:20.29","04:24.75"
"0a965dac2bc0e2f70a4cdf279956fada","PHILLIP MUSCARELLA","US","30","21","31","22","29","11","16","24","25:28.89","30 rep","14:08.86","260.0 lb","03:14.53","11:49.47","04:43.20"
"6781a15d6228996ec8bfb2a2e69b000a","ANTHONY DAVIS","US","28","32","29","17","3","20","52","17","26:52.05","31 rep","13:32.86","300.0 lb","03:18.20","CAP+75","04:36.31"
"058f8ee8400cad54d82e0f4080322f74","CJ GERALD","US","29","54","15","15","19","30","20","14","CAP+5","41 rep","13:28.80","275.0 lb","03:26.14","13:02.22","04:34.42"
"e910bed2a6dddcaed0fb507587b126bf","DANIEL KUC","US","20","29","20","30","23","16","15","25","26:28.71","37 rep","16:15.09","270.0 lb","03:16.88","11:39.64","04:44.57"
"7a4e08ad2fbe26e5a5b526b1e51af8b7","WILL BENNETT","US","29","22","20","21","12","22","40","28","25:44.42","37 rep","14:08.66","285.0 lb","03:18.78","CAP+10","04:47.04"
"d60dc8572d6ca05496d9f5a68ab88dc2","TRAVON BENTON","US","27","47","27","16","14","25","19","21","29:23.68","32 rep","13:29.39","285.0 lb","03:22.98","12:41.84","04:40.12"
"b3b0aaf7e0764d684ce501f7c57a73f8","TUDOR MAGDA","US","20","57","24","18","1","48","39","18","CAP+8","34 rep","13:51.74","325.0 lb","03:45.37","CAP+10","04:38.11"
"e26fad2741e368607786e12d896cd985","RAFAEL SANCEN","MX","28","2","26","33","50","39","42","11","23:19.39","32 rep","16:37.74","245.0 lb","03:34.53","CAP+12","04:29.56"
"4d953eb0a24b2ae5fe3176e253408f61","JACOB MARLOW","US","22","51","40","10","4","57","18","41","29:49.21","24 rep","12:55.86","300.0 lb","04:02.52","12:32.15","05:07.84"
"ba95cbdd49d9ed60195735d72aa5fbf5","JUSTIN DEWING","US","31","38","17","29","18","14","49","32","27:45.00","40 rep","15:43.54","275.0 lb","03:16.67","CAP+45","04:52.06"
"848feaa55e84234209e2286f5c923cc9","MATT BRADY","CA","28","9","43","41","20","31","28","26","24:23.20","22 rep","CAP+5","275.0 lb","03:26.58","14:17.71","04:44.80"
"80d0131095ce0e8bb2762f7e3d17b9c6","DRAKE LEWIS","US","24","53","23","27","15","26","24","35","CAP+2","36 rep","15:14.85","285.0 lb","03:23.12","13:43.13","04:56.09"
"4530a048be06a69dd00998c4740afbf9","BRIAN HUYNH","US","29","56","42","45","25","4","17","38","CAP+7","22 rep","CAP+9","265.0 lb","03:09.03","12:13.58","05:04.25"
"0eb538a93382911665577539ff0e030b","MATT POULIN","US","27","16","48","32","41","8","35","37","24:58.11","17 rep","16:32.03","250.0 lb","03:13.63","CAP","05:01.33"
"fc1450ebe87128d4b5fd3afe5ff91754","ADAM MCADAMS","US","30","25","50","25","49","13","38","27","26:06.15","15 rep","14:47.42","245.0 lb","03:16.47","CAP+8","04:46.53"
"405d6d012daca72c8a7f75b62655a8d6","JEREMIAH BAILEY","US","27","8","35","19","40","50","54","31","24:07.95","26 rep","13:55.85","255.0 lb","03:50.89","CAP+76","04:50.82"
"22b1f856eb8836add8bda1df30e1baaa","ANTON FOSS","US","27","40","53","20","8","51","45","29","28:13.57","13 rep","14:00.99","290.0 lb","03:51.12","CAP+20","04:47.51"
