"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"5caf8f884845671a35779329ef2bece4","ELLIE TURNER","AU","25","3","11","2","2","4","5","7","25:45.93","18 rep","13:27.12","190.0 lb","03:30.38","15:36.39","04:46.45"
"bad64f50301cf905720b88225822e607","JAMIE SIMMONDS","NZ","32","6","1","8","12","6","2","5","26:29.65","55 rep","16:01.99","175.0 lb","03:37.94","11:50.12","04:44.61"
"c115caef7433e4de8c95b89896323a8e","EMILY DE ROOY","AU","22","2","10","1","8","10","1","11","25:07.85","19 rep","13:17.66","180.0 lb","03:42.71","11:35.87","04:51.39"
"e693d028018ccce8279aca9dea8cb3ef","KATELIN VAN ZYL","AU","31","1","4","10","10","1","15","10","24:52.87","40 rep","16:28.88","175.0 lb","03:19.70","CAP+29","04:49.92"
"a05d8aa07558dcdfecbffb94568aee6a","MADELINE STURT","AU","26","7","2","9","26","5","4","1","27:03.63","47 rep","16:17.09","155.0 lb","03:31.68","13:50.97","04:15.43"
"d2e78bed512dcf680204fe4b383ecd97","GRACE WALTON","AU","22","9","5","4","5","2","27","3","27:21.47","30 rep","14:12.13","185.0 lb","03:25.85","CAP+51","04:31.07"
"f69ecbfb3e930182a1a3fc8ef583365d","GEORGIA PRYER","AU","23","17","3","24","13","9","3","2","28:46.70","43 rep","CAP+26","175.0 lb","03:40.73","12:48.55","04:21.05"
"749af9724a23a60dae76e098d69b9f3b","JULIA HANNAFORD","AU","22","29","20","7","3","7","21","4","CAP+15","5 rep","15:03.91","190.0 lb","03:38.48","CAP+30","04:42.52"
"2cf4e74cbbf7d5822d6574df59f55b14","GEMMA HAUCK","AU","24","19","9","6","9","12","26","9","29:04.56","21 rep","14:34.28","180.0 lb","03:45.13","CAP+44","04:49.60"
"5530cb574471923f5a438026282675e1","LAURA CLIFTON","NZ","28","11","29","3","1","19","17","14","27:30.59","0 rep","14:10.00","195.0 lb","03:55.87","CAP+29","05:06.87"
"867e1ba3d3d0fc736558495e8910a446","DANIELLE FORD","NZ","27","5","22","29","11","3","12","13","26:28.86","4 rep","CAP+51","175.0 lb","03:28.03","CAP+26","05:05.54"
"28f5c3e0939bc3bd19c6cda3589ad6f3","MADELINE SHELLING","NZ","29","8","15","16","24","15","8","19","27:08.51","7 rep","CAP+9","160.0 lb","03:49.13","CAP+13","05:35.81"
"90d05d3e287970e2930c8133ffb087fd","BRIONY CHALLIS","AU","23","20","8","12","17","23","11","15","29:36.78","24 rep","16:49.16","175.0 lb","04:06.84","CAP+25","05:10.55"
"0abde6d270f8a9a66144016b87021cd4","KATIE BROCK","NZ","29","4","30","11","25","18","18","6","26:22.50","0 rep","16:34.90","160.0 lb","03:54.11","CAP+29","04:45.14"
"b86bfeea35818270e6f9e02d3106b7a6","ELLY HUTCHENS","AU","25","22","7","27","19","14","6","16","29:52.51","25 rep","CAP+40","170.0 lb","03:47.16","CAP","05:17.17"
"bb800d1277ee164785d1ab8076940ccf","CHLOE GREGORY","NZ","33","23","15","18","6","16","23","12","29:55.81","7 rep","CAP+13","185.0 lb","03:52.12","CAP+30","05:01.40"
"631f908b5cc530d97e2d4eb48d2a9342","OLIVIA SMOOTHY","AU","29","18","13","17","4","21","22","20","28:53.84","12 rep","CAP+12","190.0 lb","03:57.11","CAP+30","05:36.19"
"a5a5674e3b288d7d451308f0e71b039b","DAISY MCDONALD","AU","21","14","18","28","15","13","25","8","28:31.11","6 rep","CAP+40","175.0 lb","03:46.81","CAP+32","04:47.36"
"af60ab8a5fce57f6729d7e918308dfd4","AMANDA MACKAY","NZ","29","24","24","19","20","8","10","18","29:59.86","0 rep","CAP+18","165.0 lb","03:40.06","CAP+24","05:34.96"
