"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"0287d5a67eceea7a80fe6562b59b0d8a","JAY CROUCH","AU","24","3","4","2","14","3","3","3","22:31.77","42 rep","13:47.89","265 lb","03:06.38","11:42.21","04:20.65"
"526887d795b07cd6b112d2263e257a56","BAYLEY MARTIN","NZ","23","16","1","5","3","11","1","7","25:05.57","49 rep","14:31.01","285 lb","03:21.07","10:25.34","04:29.55"
"2bc60522fd42f1437e50871ce6563449","JAKE DOUGLAS","AU","32","12","6","1","1","17","7","6","24:21.34","39 rep","13:22.06","310 lb","03:27.38","12:54.07","04:26.95"
"213d5c546a9b3c44ad6a1556722bf065","WILLIAM KEARNEY","AU","23","8","9","4","15","5","5","10","23:34.29","33 rep","14:12.44","265 lb","03:11.02","12:35.13","04:36.81"
"7011780aff4475ff39faa4b6f4825bee","PETER ELLIS","AU","21","17","2","12","19","6","2","2","25:25.54","46 rep","16:44.67","255 lb","03:11.54","10:27.86","04:19.73"
"10cb2b9b887fa68aff1ebb466682fda3","REILLY SMITH","AU","26","5","10","9","7","15","9","15","23:06.59","31 rep","16:25.00","275 lb","03:23.50","13:32.67","04:55.51"
"cef85ef5e3e85770226043434c89ea7d","ZAC THOMAS","AU","21","1","5","21","16","10","18","4","21:51.06","39 rep","CAP+11","265 lb","03:15.39","CAP+7","04:23.21"
"9d39fac9e7f7c2e4044de0fdb64551e3","ISAAC NEWMAN","AU","25","11","26","20","6","1","12","1","24:13.15","9 rep","CAP+9","275 lb","03:05.53","14:02.97","04:10.55"
"a40743c40c5f8c9a5253cab36d14b902","JAMES NEWBURY","AU","32","4","19","26","13","2","13","5","23:01.69","20 rep","CAP+25","265 lb","03:06.19","14:35.94","04:26.76"
"3f8351a212fff793a5957656473998cb","MITCHELL CASE","AU","26","13","14","6","12","12","23","16","24:22.95","24 rep","15:41.05","270 lb","03:21.75","CAP+26","05:00.31"
"844a2d74cbf774d3efb401232db49cb7","RILEY MARTIN","NZ","21","22","3","22","5","22","4","24","26:49.25","43 rep","CAP+15","280 lb","03:40.02","12:00.99","05:31.13"
"5e4cd63cb8f804dc82eb4637cd979c77","JAMES THOMAS","AU","28","7","27","11","25","13","11","9","23:24.92","7 rep","16:34.41","235 lb","03:21.80","13:44.96","04:36.22"
"02cab0b12e42b1868ed34ff18fd33ae2","DARCY HANCOCK","AU","21","25","8","14","2","9","25","22","27:07.56","33 rep","CAP+2","305 lb","03:15.11","CAP+29","05:24.74"
"63544a1ce79108a9bbe59add8fdc76d7","ZANE SHELLABEAR-HEALEY","AU","23","2","18","8","27","19","17","13","22:06.42","20 rep","15:51.08","235 lb","03:29.59","CAP+4","04:45.92"
"b1da48cb519551c32b6533e1db54b525","ROB WATT","NZ","32","6","23","18","18","4","26","11","23:11.37","13 rep","CAP+6","255 lb","03:09.35","CAP+29","04:39.13"
"92b918e4dd6795390f4b87c11ffd8980","MATT GILPIN","AU","27","9","17","19","24","8","16","12","23:43.84","20 rep","CAP+7","235 lb","03:13.93","CAP+3","04:41.52"
"f997f76d51301636d893f36985b8582a","LUKE MCMAHON","AU","28","10","12","15","26","16","22","8","23:45.02","26 rep","CAP+2","235 lb","03:25.64","CAP+18","04:35.62"
"00554d556db6842784c31aeff7be458e","JOHAN ROBERTS","NZ","18","24","13","23","4","20","8","19","27:03.58","26 rep","CAP+18","285 lb","03:31.95","13:00.88","05:04.47"
"6195237e4a823de8f6316485cf2b6d43","ANDREW SAMBELL","AU","27","18","7","3","23","28","21","14","25:30.18","37 rep","13:50.11","245 lb","04:08.57","CAP+17","04:53.95"
"05404cf83cb8814d234bd4cd14e643d5","BAILEY O'BRIEN","AU","25","20","11","17","28","7","15","17","26:15.18","29 rep","CAP+5","225 lb","03:13.62","CAP+3","05:01.07"
"290f974c3cc221bcc0a6e28b511797cc","REES MACHELL","AU","25","15","24","7","21","18","14","18","25:04.15","11 rep","15:42.68","250 lb","03:27.99","14:38.67","05:01.43"
"e8ca2e7ed42ff78c1ebb6c37cc3eece7","JACK CLARK","AU","24","19","16","10","8","21","24","20","25:30.84","20 rep","16:33.73","275 lb","03:37.35","CAP+29","05:09.31"
"48cd204bc6dea75449eec130e601ca44","HIKO O TE RANGI CURTIS","NZ","19","26","20","27","9","23","10","26","27:25.78","19 rep","CAP+26","275 lb","03:42.61","13:32.70","05:46.54"
"c2e4cea9c0e700204050b203f37c8a49","GEORGE RHIGAS","AU","28","14","21","16","20","14","27","28","24:51.95","15 rep","CAP+2","255 lb","03:22.91","CAP+30","05:57.53"
"743217d861b0ffd1e440dab7e6bb6294","BENJAMIN NEWLAND","AU","27","21","15","29","11","25","19","23","26:26.96","22 rep","CAP+38","275 lb","03:47.68","CAP+10","05:30.27"
"7c67aff7cb78e5bdf7a1047add46bfed","LUKE FOWLER","NZ","23","28","25","25","17","27","6","25","29:04.30","10 rep","CAP+25","260 lb","03:59.74","12:52.82","05:41.53"
"50908dc9bfadea03c8d7735b26e744ad","HARRISON CALVERLEY","NZ","26","29","22","13","22","26","20","27","29:34.64","14 rep","CAP","245 lb","03:47.68","CAP+17","05:47.48"
"539fbbfdcaa2d8e3a363cdd9f9cb68b0","JAYDEN AZZOPARDI","AU","25","27","28","24","10","24","28","21","27:43.45","0 rep","CAP+24","275 lb","03:47.56","CAP+51","05:18.50"
