"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"e6a060c337a12bf311a5e4a592966d74","VICTORIA CAMPOS","BR","30","14","2","1","4","2","3","2","CAP +90","46","14:14","185","3:55","12:30","5:19"
"3a36cd8e06a2582c309b5736241b3bab","ALEXIA WILLIAMS","AR","24","2","7","5","6","5","6","1","CAP +102","33","16:59","185","4:04","13:45","5:10"
"6d4c9887083952e3d252768b026cf0dc","VALENTINA RANGEL","CO","26","4","10","2","11","3","7","6","CAP +96","29","14:29","175","4:00","15:10","5:36"
"6c93868b07c2d5c9052fe8b0b6907957","ANDREIA PINHEIRO","BR","40","1","6","3","18","1","13","3","29:12:00","35","15:29","170","3:34","CAP +60","5:23"
"2219c058e153e22efb96f65d56f92bfd","FERNANDA DOTTO","BR","32","3","27","7","2","8","21","4","CAP +100","0","CAP +158","190","4:14","CAP +51","5:24"
"053819cf0724a86a4f9dc5aeea99aff7","EMILY ANDRADE","BR","27","7","4","8","19","19","1","13","CAP +95","38","CAP +156","170","4:33","11:10","CAP +101"
"6ea7febd31eef9f8c2980e025ee7cc3f","LUIZA MARQUES","BR","21","29","1","4","3","17","2","23","CAP +82","54","16:04","190","4:32","12:09","CAP +92"
"0a773b2840c8cbc7929f153deacd371a","JULIA KATO","BR","23","26","9","15","5","4","11","9","CAP +85","30","CAP +135","185","4:02","CAP +70","5:58"
"353e3b96c7a06d579b2426eece163387","DELFINA ORTUÑO","AR","31","21","5","10","10","25","4","8","CAP +88","37","CAP +143","180","5:07","13:25","5:48"
"f82866089a5a8f4f3b22de38d8a89784","AMANDA FUSUMA","BR","26","20","3","12","12","6","5","25","CAP +88","42","CAP +142","175","4:09","13:31","CAP +87"
"31e3572063d2a32e96b3fa82f241f396","SASHA NIEVAS","AR","25","5","22","24","1","7","22","7","CAP +96","0","CAP +88","200","4:11","CAP +51","5:39"
"3d47edbcd82ea61b456b619e0b1dc532","BRUNA BAXHIX","BR","26","6","8","18","7","11","20","21","CAP +95","30","CAP +128","185","4:21","CAP +51","CAP +96"
"d516b2d6d8a8c9fa80e28829b7054568","CONSTANZA CABRERA","CL","28","8","11","9","8","13","14","28","CAP +95","24","CAP +153","180","4:26","CAP +59","CAP +72"
"fb3852f042f9ff9b297c7ea1fb7a83d4","LUCÍA VIRETTI ANINO","AR","23","11","14","20","14","18","12","15","CAP +93","11","CAP +121","175","4:33","CAP +70","CAP +100"
"28e59502509a06b72d29778b087f8338","KIARA PRISCILLA SCHNEIDER","AR","20","10","20","16","9","16","24","15","CAP +93","0","CAP +129","180","4:28","CAP +50","CAP +100"
"54b59a82b8a2c6a7a3cfd51a42ba8330","CLAUDIA AMARAL","BR","31","25","12","6","15","20","9","27","CAP +85","22","CAP +163","175","4:36","15:43","CAP +85"
"334704f895e262a0221ba2ac4ecfa2dd","THAIS NUNES","BR","32","15","15","17","16","21","8","21","CAP +89","9","CAP +128","175","4:37","15:40","CAP +96"
"fcc62544491a065768b12c52a85388de","JANE SILVA","BR","24","18","17","23","22","9","16","13","CAP +88","2","CAP +93","160","4:17","CAP +54","CAP +101"
"8ce7c5d80a7e3be0601250237f09e3a1","PATRICIA MACIEL","BR","35","9","27","11","24","14","26","11","CAP +95","0","CAP +142","155","4:26","CAP +49","CAP +104"
"ad287090418ff23c66825fa91e15a075","SABRINA BEDIN","BR","23","23","16","19","23","10","27","5","CAP +85","8","CAP +125","155","4:18","CAP +46","5:33"
"d224bca25aedeb88dba8a4f192d7057c","MARIA LÍVIA NASCIMENTO","BR","19","12","18","26","13","12","28","12","CAP +91","1","CAP +61","175","4:21","CAP +45","CAP +102"
"914feb34ea6707c1f54046a4ab73dc7a","MARÍA JOSE VARGAS","CO","19","28","19","14","25","23","10","10","CAP +83","1","CAP +141","155","4:49","CAP +71","5:59"
"562af368150c05a03fc7239c458c5476","CAROLINA MARTINEZ","BR","30","19","23","13","20","15","19","19","CAP +88","0","CAP +142","165","4:27","CAP +51","CAP +98"
"36eac56324174a43987b5a9e3c642d36","BRUNA FERNANDES","BR","30","27","21","30","21","22","15","15","CAP +84","0","CAP +10","165","4:42","CAP +56","CAP +100"
"a9fe05a2983e4fd4865e8ffa52ce6f48","GABRIELA MARRAFON","BR","29","16","23","21","26","24","17","24","CAP +89","0","CAP +113","145","4:55","CAP +53","CAP +91"
"60575b27997a6c471b912c19cc0ec96a","VICTORIA MONJE","AR","34","13","26","22","27","26","18","20","CAP +90","0","CAP +105","145","5:09","CAP +52","CAP +97"
"af796c517d5411fb529a4e8395b9d337","AMANDA BACETTI","BR","29","30","13","25","17","27","25","18","CAP +76","13","CAP +84","175","5:16","CAP +50","CAP +99"
"f20f0c2de4132cb267d1ad69aa3a210e","CAMILA CARTAGENA","CO","23","17","27","27","28","28","23","25","CAP +88","0","CAP +43","145","5:23","CAP +51","CAP +87"
"422ab5f1acfd6f74cbab5f5c2980c785","LILLIAN NAGAO","BR","24","22","27","28","29","29","29","29","CAP +86","0","CAP +39","145","5:24","CAP +29","CAP +68"
