"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7"
"e1f9f0fed617b77d36ea23fe145599d1","KAIQUE CERVENY","BR","25","2","2","4","2","3","2","2","25:23:00","49","16:19","295","3:17","10:51","4:17"
"ef2eb1da10347bd121e6f7693247691f","KALYAN SOUZA","BR","22","3","6","1","3","2","5","1","26:09:00","40","14:59","290","3:13","11:31","4:15"
"2a85ca604a6d45c99e2a93d5bbb7174b","GUILHERME MALHEIROS","BR","23","15","1","2","1","6","1","3","29:08:00","49","15:22","310","3:23","9:06","4:21"
"a9d59a3afb32f2d2223a59374cf8c7b1","BENJAMIN GUTIERREZ","CL","22","8","8","9","6","4","7","14","27:59:00","36","CAP +158","275","3:20","12:16","5:15"
"06e8fa214cd666bfc3bfc6dc602d0bea","BRUNO MARINS","BR","26","10","4","8","4","7","22","5","28:19:00","41","CAP +160","285","3:26","CAP +70","4:56"
"18f71fa52ce4475dad054bd199825dc2","AGUSTIN RICHELME","AR","26","18","3","20","7","10","4","6","CAP +102","42","CAP +129","275","3:32","11:27","5:01"
"cd781e6703a77601af8f8694717b79f6","GUSTAVO ERRICO","VE","25","5","16","13","14","8","9","11","26:54:00","24","CAP +158","265","3:28","12:41","5:10"
"509cee8db7acc565caecc6b3513a35df","BRAYAN STIVEN FAJARDO","CO","22","13","12","7","13","21","3","9","28:29:00","30","CAP +160","270","3:50","11:02","5:08"
"5cb988e54427e55d6d79aefd618932e5","LAGO GUIRALDES","AR","25","1","11","29","17","1","24","4","25:15:00","30","CAP +94","260","3:09","CAP +60","4:43"
"d90a8bf195101cc4d96a7efcee70038e","JOAO PEDRO BARCELOS","BR","22","17","5","17","5","12","17","15","29:46:00","40","CAP +139","285","3:36","14:04","5:21"
"197c448cd8ed1768c54c8d43bec73136","JUAN MANUEL SEITUN","UY","29","14","24","16","12","14","20","6","28:38:00","15","CAP +146","270","3:39","CAP +72","5:01"
"9d729e37d6f2e2be2c82f77b43418af5","PABLO CHALFUN","BR","30","24","14","5","9","18","14","25","CAP +100","26","CAP +165","275","3:45","13:42","5:49"
"f608691ab63d7eca5a17b305b8f0c0af","OMAR MARTINEZ","VE","31","7","7","15","21","17","19","23","27:28:00","38","CAP +150","250","3:43","CAP +77","5:42"
"f8611c1de65e0328040a01912748fa4c","VINICIUS STOELBEN","BR","31","9","20","26","8","13","21","13","28:10:00","22","CAP +111","275","3:38","CAP +71","5:14"
"5af70741ddda662580073be78e5808d8","VITOR CAETANO","BR","24","29","13","19","15","16","10","10","CAP +88","27","CAP +129","265","3:42","12:53","5:09"
"b2472661868e95f42070dbbc1fa0e12a","ESTEBAN OSPINA","CO","22","12","17","23","19","11","8","24","28:22:00","23","CAP +127","255","3:32","12:20","5:43"
"4e228732a34c62d25528ff6392f127bb","BRUNO DINIZ","BR","24","11","21","22","23","5","16","17","28:21:00","18","CAP +129","245","3:20","14:03","5:24"
"377fd9a54c5bcf6521d9883dbc8693a8","VITOR NUNES","BR","30","22","17","11","11","28","11","16","CAP +101","23","CAP +158","275","4:15","13:02","5:23"
"ab0d5ffb8ae9db01997d078128b945f2","LUKAS OZAKI","PE","26","4","29","18","26","9","15","20","26:32:00","0","CAP +139","240","3:31","13:46","5:29"
"067f6bd7ce928f6777f73aa91bcbf42d","GERONIMO BEAUDEAN","AR","22","23","19","6","18","19","18","22","CAP +100","23","CAP +162","260","3:47","CAP +78","5:34"
"fe320cf35a1b14dad3f7c18772f023e0","JUAN TOBON","CO","23","21","24","21","20","15","6","21","CAP +101","15","CAP +129","255","3:40","11:39","5:33"
"82914279c37688f3e8a91bd6e92facad","BASTIAN PFANNSCHMIDT","CL","33","16","28","3","24","23","28","18","29:18:00","6","16:16","245","3:51","CAP +50","5:25"
"0fd5e36a3251ff52d9beb75cd24de32c","MARCUS ALVES","BR","29","27","10","10","16","27","26","28","CAP +91","31","CAP +158","265","4:03","CAP +53","CAP +115"
"e788e56b826255fdfd6f5e8a9498358b","TOMAS SARMIENTO","AR","21","26","23","12","10","26","27","26","CAP +95","16","CAP +158","275","4:03","CAP +53","5:50"
"34ec198aa15daacd4273a68ac64f4bb0","MARCUS MOREIRA","BR","28","19","27","24","22","20","25","12","CAP +102","10","CAP +127","250","3:49","CAP +59","5:13"
"4d691e683bb7506903d1b84e315a57c9","HECTOR MATEUS","CO","26","20","30","14","28","22","29","8","CAP +101","0","CAP +151","230","3:50","CAP +45","5:06"
"a7c03ad28efdf84c3c13d9b3eb180ec2","PATRICK GOMES","BR","26","28","9","28","25","24","12","27","CAP +89","34","CAP +110","245","3:55","13:36","CAP +120"
"ecbf350a66e866159f3ce55ffdb8557b","LUCAS ALMEIDA","BR","31","25","22","27","27","25","13","19","CAP +95","17","CAP +110","235","3:59","13:37","5:27"
"78f35741c122f3feca95a8ab8db09613","THAINÃ TOMA","BR","33","30","15","25","29","29","23","29","CAP +84","25","CAP +125","215","4:50","CAP +63","CAP +113"
