"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","score_1","score_2","score_3","score_4","score_5","score_6","score_7","score_8","score_9","score_10","score_11","score_12"
"24f153b597cb63711d1644ba223d3f38","LAURA HORVATH","HU","26","9","1","27","2","1","15","13","8","1","1","1","4","7 rep","13:50.40","CAP+5","16:36.18","04:36.18","09:06.79","19:02.68","08:32.50","470 lb","08:41.22","08:36.46","07:41.20"
"5298863b1dde5c3cd28412d28e22ccd0","EMMA LAWSON","CA","18","1","15","13","4","9","5","7","1","7","6","10","9","7 rep","17:13.59","05:16.28","17:35.41","CAP+4","08:44.92","18:31.60","07:48.64","433 lb","09:49.49","10:06.92","08:21.07"
"af4fe0966a1c6c5c53418f79f5edd3b2","ARIELLE LOEWEN","US","29","12","2","14","13","17","4","3","3","13","3","6","11","6 rep","14:43.54","05:22.78","CAP+12","CAP+12","08:42.74","18:21.21","08:11.96","422 lb","09:38.84","09:28.97","08:28.94"
"ac7f3752415759eb9ab4c122685844f9","GABRIELA MIGAŁA","PL","24","7","17","22","15","7","27","5","4","5","8","13","3","7 rep","17:26.22","CAP+5","CAP+14","CAP+3","09:26.85","18:27.44","08:17.58","436 lb","10:36.84","11:10.51","07:40.61"
"0eaaffa6f24dd9b8bc32edf80c4b8369","ALEX GAZAN","US","21","18","6","19","3","2","8","19","11","19","2","3","16","6 rep","16:13.39","CAP","17:25.97","05:50.32","08:53.66","19:39.65","08:38.26","416 lb","08:59.04","09:16.53","09:15.83"
"129f82680a30cffd3d4302a651f3aa7c","ALEXIS RAPTIS","US","24","5","3","5","5","37","3","4","12","22","13","8","13","7 rep","15:14.94","04:13.51","17:45.74","CAP+29","08:40.85","18:26.55","08:39.20","404 lb","11:23.88","09:45.72","08:43.46"
"25241743ddb9322eee0d386c10493557","KATRIN TANJA DAVIDSDOTTIR","US","30","4","34","6","34","9","19","2","9","20","9","7","2","7 rep","CAP+6","04:17.56","CAP+15","CAP+4","09:13.31","18:20.13","08:35.32","412 lb","10:47.96","09:33.93","07:33.41"
"8c8305d031301875eb4419ec87d9c289","EMMA CARY","US","19","40","4","17","39","16","2","12","2","8","11","5","5","5 rep","15:38.84","06:17.68","CAP+30","CAP+11","08:38.61","18:59.97","08:01.67","428 lb","11:12.24","09:27.72","07:42.54"
"48dec38d3d76cc5e0770b642a6cc94f3","DANIELLE BRANDON","US","27","21","21","1","20","17","11","11","10","26","7","2","8","6 rep","17:45.91","03:12.75","CAP+14","CAP+12","08:56.63","18:42.71","08:37.85","382 lb","09:58.90","08:48.42","08:20.26"
"dfccf401d70c98e753f44df398c94aee","PAIGE POWERS","US","20","14","20","3","19","28","7","24","17","10","4","4","10","6 rep","17:43.40","03:56.62","CAP+14","CAP+16","08:50.70","20:12.60","08:50.10","426 lb","09:41.97","09:18.73","08:26.31"
"77312d4e0b39ca8390f2614b751e2ab5","EMMA TALL","SE","31","3","10","36","1","17","23","23","5","13","5","18","6","7 rep","16:32.72","CAP+11","15:54.01","CAP+12","09:18.60","20:02.35","08:19.68","422 lb","09:46.93","12:21.46","08:12.46"
"e1a8913a66581db537f011ae67c2c380","EMILY ROLFE","CA","34","2","12","7","30","33","14","1","13","28","15","9","7","7 rep","16:49.32","04:23.30","CAP+15","CAP+20","09:05.60","17:48.62","08:44.28","365 lb","11:38.48","09:59.33","08:14.49"
"f1eec0c8141d91947f4acc88e18fd695","ANNIE THORISDOTTIR","IS","33","11","8","12","9","13","24","25","7","13","12","14","14","6 rep","16:20.26","04:55.94","CAP+9","CAP+6","09:20.16","20:48.20","08:29.89","422 lb","11:13.32","11:18.16","09:02.33"
"5d5cc4fc3c7995a0d9d5a7b7f349b2d1","KARIN FREYOVÁ","SK","28","10","22","35","11","7","13","21","15","3","10","19","12","7 rep","17:56.06","CAP+11","CAP+9","CAP+3","09:03.96","19:44.11","08:46.63","446 lb","11:04.76","12:24.31","08:40.74"
"4c62ee9a1bc569f383c043116c7a0c99","BETHANY FLORES","US","29","6","13","16","12","33","6","6","16","30","18","12","18","7 rep","17:03.18","06:16.20","CAP+11","CAP+20","08:46.27","18:28.83","08:47.68","362 lb","12:23.75","10:50.83","09:50.03"
