hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
1e0ea53167c7b67a965075fcc93f85b4,MICHELLE BASNETT,ZA,26,5.0,2.0,4.0,1.0,15.0,1.0,1.0,CAP+14,28,CAP+25,179,5:12,CAP+3,5:08,14.0,28.0,25.0,179.0,-312.0,3.0,-308.0,-1.1319797787010188,1.982976011034827,-1.1220235727161905,1.0103176356606751,0.16706066084381013,-2.3073261764486896,0.7672171302126195,0.9309493362512627,0.9730426841179182,0.8887574450699944
7745b35591d8083255191b2f8588be3c,MARISKA SMIT,ZA,30,11.0,6.0,5.0,2.0,1.0,3.0,5.0,CAP+18,15,CAP+26,176,3:59,CAP+9,5:27,18.0,15.0,26.0,176.0,-239.0,9.0,-327.0,-0.4007630272419757,0.7882418011778367,-1.0950118941137637,0.9207667543180242,0.6120422045428593,-1.9444805277329682,0.739647772322393,0.9309493362512627,0.9730426841179182,0.9225643613040425
0b327194ef2eaeae6522ce2f1aaeae21,GILMARI REYNEKE,ZA,26,1.0,3.0,14.0,9.0,2.0,4.0,4.0,CAP+14,28,CAP+69,159,4:00,CAP+15,5:21,14.0,28.0,69.0,159.0,-240.0,15.0,-321.0,-1.1319797787010188,1.982976011034827,0.06649028579058923,0.4133117600430033,0.6059465669579408,-1.5816348790172468,0.7483538853403593,0.9309493362512627,0.9730426841179182,1.1197953898440896
5a0d1772edf5ffec962613d94ad7a009,CHRISTINA LIVADITAKIS,ZW,26,24.0,1.0,3.0,3.0,6.0,2.0,3.0,CAP+28,36,CAP+16,172,4:31,CAP+4,5:16,28.0,36.0,16.0,172.0,-271.0,4.0,-316.0,1.427278851405632,2.718197063254513,-1.3651286801380318,0.8013655791944899,0.41698180182546785,-2.246851901662736,0.7556089795219978,0.9309493362512627,0.9730426841179182,1.3065156112113576
231df2ef5b4ed6dd9eae8946ae2b82aa,TANHA BOUFFE,ZA,24,17.0,4.0,9.0,4.0,4.0,6.0,12.0,CAP+21,24,CAP+54,170,4:22,CAP+30,5:58,21.0,24.0,54.0,170.0,-262.0,30.0,-358.0,0.14764953635230657,1.6153654849249839,-0.33868489324581297,0.7416649916327227,0.4718425400897342,-0.6745207572279435,0.6946661883962341,0.9309493362512627,0.9730426841179182,1.3265351975837931
69ac3d50e5334882ad795a17469143ce,GEMMA RADER,ZA,31,23.0,7.0,2.0,6.0,7.0,13.0,2.0,CAP+28,9,CAP+11,165,4:36,CAP+52,5:10,28.0,9.0,11.0,165.0,-276.0,52.0,-310.0,1.427278851405632,0.23682601201307202,-1.5001870731501659,0.5924135227283048,0.38650361390087545,0.6559132880630347,0.7643150925399641,0.9309493362512627,0.9730426841179182,1.313911553387598
caf0fac3dc6e30ceb96afb9149444508,EMMA HOLLIDAY,ZA,31,4.0,14.0,8.0,10.0,3.0,14.0,6.0,CAP+14,0,CAP+37,159,4:21,CAP+52,5:44,14.0,0.0,37.0,159.0,-261.0,52.0,-344.0,-1.1319797787010188,-0.5902976717340751,-0.7978834294870688,0.4133117600430033,0.4779381776746527,0.6559132880630347,0.714980452104822,0.9309493362512627,0.9730426841179182,0.9387282636925715
e85c105009412bbc3c93f26f0218563f,MEGAN JOY MCDERMOTT,ZA,31,16.0,9.0,11.0,12.0,12.0,9.0,9.0,CAP+21,0,CAP+58,154,4:56,CAP+41,5:52,21.0,0.0,58.0,154.0,-296.0,41.0,-352.0,0.14764953635230657,-0.5902976717340751,-0.2306381788361057,0.26406029113858537,0.2645908622025058,-0.00930373458245436,0.7033723014142003,0.9309493362512627,0.9730426841179182,1.0461133504876385
cdf68be391fa5914a14cc36c4b2c2b89,MEGAN FAUL,ZA,31,12.0,18.0,1.0,7.0,9.0,15.0,20.0,CAP+18,0,CAP+3,165,4:44,CAP+52,CAP+13,18.0,0.0,3.0,165.0,-284.0,52.0,-1144.603550295858,-0.4007630272419757,-0.5902976717340751,-1.7162805019695804,0.5924135227283048,0.3377385132215276,0.6559132880630347,-0.4467103798053065,0.9309493362512627,0.9730426841179182,0.7645118605520026
3c63173fef460dc554f1d9eec8556257,ALICIA STOOP,ZA,35,2.0,18.0,23.0,5.0,5.0,25.0,8.0,CAP+14,0,CAP+104,170,4:27,CAP+56,5:51,14.0,0.0,104.0,170.0,-267.0,56.0,-351.0,-1.1319797787010188,-0.5902976717340751,1.0118990368755276,0.7416649916327227,0.4413643521651418,0.897810387206849,0.704823320250528,0.9309493362512627,0.9730426841179182,1.2490405206886654
faa6cc588b6f02a586feedacb308d905,MAXX KLYNSMITH,ZA,28,3.0,8.0,22.0,16.0,14.0,8.0,20.0,CAP+14,9,CAP+103,146,5:03,CAP+33,CAP+13,14.0,9.0,103.0,146.0,-303.0,33.0,-1144.603550295858,-1.1319797787010188,0.23682601201307202,0.9848873582731008,0.025257940891516683,0.22192139910807646,-0.4930979328700828,-0.4467103798053065,0.9309493362512627,0.9730426841179182,0.8928619619957345
