hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
af69868d8d2e778a85d70fa3c16a9c11,JASON SMITH,ZA,39,1.0,3.0,9.0,7.0,8.0,4.0,1.0,25:56,34,CAP+28,258,3:44,13:57,4:29,-1556.0,34.0,-3497.142857142857,258.0,-224.0,-837.0,-269.0,0.7815315516215976,1.5547825323139788,-0.08085678519991882,0.7751501782155892,0.7738793248713643,0.8488464111724271,1.7947452132909234,0.9486832980505138,0.9587490753995676,1.8326325479049008
85f06d704808662abaa1e8a1d7e58ffb,CONRAD WINNERTZ,ZA,22,11.0,6.0,6.0,4.0,14.0,3.0,13.0,29:10,27,CAP+16,265,3:56,13:17,5:10,-1750.0,27.0,-6120.0,265.0,-236.0,-797.0,-310.0,0.7203973522346885,1.029104717274011,-0.8612693699457041,1.0929449367464923,0.20011067210632552,0.8865522171760788,0.1279809925584972,0.9486832980505138,0.9587490753995676,1.3918665750880979
2ffc011c1cceaabd1de1d34e52741a43,RUAN POTGIETER,ZA,26,9.0,1.0,25.0,3.0,20.0,1.0,3.0,29:03,42,CAP+70,269,4:14,11:05,4:42,-1743.0,42.0,-1398.857142857143,269.0,-254.0,-665.0,-282.0,0.7226032254084429,2.1555571780739418,0.5434732825967092,1.274541941621294,-0.6605423070412327,1.0109813769881295,1.2662589969611298,0.9486832980505138,0.9587490753995676,1.8143087663677737
e572a99a91104009284b7cbeffbab370,DARREN ZURNAMER,ZA,22,24.0,2.0,14.0,2.0,13.0,2.0,7.0,CAP+14,38,CAP+37,269,3:56,12:54,4:50,-4142.417582417583,38.0,-2646.4864864864867,269.0,-236.0,-774.0,-290.0,-0.033512614261514966,1.8551698551939604,0.17224999904195734,1.274541941621294,0.20011067210632552,0.9082330556281786,0.9410367099889491,0.9486832980505138,0.9587490753995676,1.6794542385033386
734155aec5b595b9ffe89017eb39e2e8,JOSH KERNOT,ZA,27,16.0,5.0,15.0,13.0,5.0,8.0,2.0,CAP+6,30,CAP+37,243,3:37,CAP+12,4:34,-9665.641025641025,30.0,-2646.4864864864867,243.0,-217.0,-4044.7833333333333,-274.0,-1.7740169608412697,1.2543952094339972,0.17224999904195734,0.0941614099350825,1.1085777056509705,-2.1749549905379233,1.5914812839333106,0.9486832980505138,0.9587490753995676,0.9955977855249389
ec02f1fd11cce8bd287b3f49fa0e6f64,DANIEL GRIESEL,ZA,27,2.0,15.0,5.0,11.0,19.0,5.0,8.0,26:30,8,CAP+8,254,4:12,14:34,5:02,-1590.0,8.0,-12240.0,254.0,-252.0,-874.0,-302.0,0.770817310491933,-0.3977350664059015,-2.6822320676858697,0.5935531733407874,-0.5649141982470596,0.8139685406190492,0.45320327953067796,0.9486832980505138,0.9587490753995676,0.8214151023332195
3cd90cb204ccb99acae7fbbb01341c92,JAMES VAN DONGEN,ZA,23,7.0,4.0,10.0,24.0,10.0,9.0,4.0,28:59,32,CAP+31,212,3:47,CAP+16,4:43,-1739.0,32.0,-3158.7096774193546,212.0,-227.0,-3033.5874999999996,-283.0,0.723863724364874,1.404588870873988,0.01984161283179538,-1.3132153778446312,0.6304371616801047,-1.2217561424537322,1.225606211089607,0.9486832980505138,0.9587490753995676,1.1578866525936362
bb0761c21ffb5affb309f8d84f0938fc,JUSTIN HOLLIDAY,ZA,28,4.0,25.0,2.0,9.0,1.0,16.0,22.0,27:33,0,16:29,256,3:24,CAP+29,5:34,-1653.0,0.0,-989.0,256.0,-204.0,-1673.703448275862,-334.0,0.750964451928143,-0.9985097121658647,0.6654233754962549,0.6843516757781882,1.7301604128130958,0.06013196359052409,-0.8476858683580449,0.9486832980505138,0.9587490753995676,1.2358779388548247
32e40d2f3d855654c64f2ba48c90b534,DUTOIT BOTHA,ZA,29,6.0,28.0,12.0,5.0,2.0,18.0,11.0,28:41,0,CAP+36,260,3:29,CAP+30,5:07,-1721.0,0.0,-2720.0,260.0,-209.0,-1617.9133333333332,-307.0,0.7295359696688141,-0.9985097121658647,0.15037657324327672,0.86594868065299,1.491090140827663,0.1127222448641347,0.24993935017306498,0.9486832980505138,0.9587490753995676,1.3112666764259084
00eb898f14357f41dd8028b54b4a9ce3,ASSEM EFFAT,EG,32,19.0,18.0,7.0,6.0,6.0,14.0,11.0,CAP+6,5,CAP+24,258,3:40,CAP+28,5:07,-9665.641025641025,5.0,-4080.0,258.0,-220.0,-1733.4785714285713,-307.0,-1.7740169608412697,-0.6230255585658877,-0.2542818040323156,0.7751501782155892,0.9651355424597107,0.0037852336545128817,0.24993935017306498,0.9486832980505138,0.9587490753995676,0.8696658137796237
