hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
97e0f3176d93e138c12afcb2197d1259,ARTHUR SEMENOV,RU,30,1.0,18.0,1.0,1.0,1.0,6.0,2.0,23:40.00,24,14:13,295,03:13.38,12:56,04:45.00,-1420.0,24.0,-853.0,295.0,-193.38,-776.0,-285.0,1.6147599621604742,0.005530942995273152,0.3262560034983953,1.684348932799817,1.4068663489780588,0.9441723424058795,1.3757278933894792,0.9660917830792959,0.8504350777141843,1.8658889652355477
dffeefb59059efe836801a80073cfbf9,ANT HAYNES,CN,33,6.0,8.0,2.0,14.0,6.0,5.0,1.0,24:59.00,34,14:48,250,03:28.00,12:55,04:30.60,-1499.0,34.0,-888.0,250.0,-208.0,-775.0,-270.6,1.077929372208065,0.7798629623334979,0.31422420021474645,-0.18550098378852647,0.7211963424088705,0.9480040217786513,1.8179518617361858,0.9660917830792959,0.8504350777141843,1.6058730009371538
ae670ff1ee0ca3ab869156bc3a64ae55,MORTEZA SEDAGHAT,IR,28,15.0,2.0,3.0,2.0,3.0,2.0,12.0,27:30.00,40,15:11,290,03:25.00,11:12,05:19.00,-1650.0,40.0,-911.0,290.0,-205.0,-672.0,-319.0,0.05183545976738359,1.2444621739364328,0.3063175866283486,1.4765878309566678,0.8618947021699899,1.342666997174147,0.33158796812642044,0.9660917830792959,0.8504350777141843,1.6254273806692459
37d8afe6ddbd5735cc4b74dfab523104,ANDREI FEDOTOV,RU,29,26.0,1.0,4.0,7.0,2.0,1.0,9.0,CAP +111,47,15:40,275,03:18.00,10:02,05:12.27,-1881.0810810810813,47.0,-940.0,275.0,-198.0,-602.0,-312.27,-1.5184353387591658,1.7864945874731901,0.2963483781933253,0.8533045254272199,1.190190874945935,1.6108845532681733,0.5382662533329029,0.9660917830792959,0.8504350777141843,1.5069708806540207
fcac275a3facb63923874d1e0e8f79d9,ANATOLII BORISENKO,RU,36,3.0,14.0,5.0,6.0,9.0,8.0,6.0,24:29.00,28,16:01,280,03:33.00,13:47,04:54.00,-1469.0,28.0,-961.0,280.0,-213.0,-827.0,-294.0,1.2817890899115114,0.31526375073056306,0.289129296223136,1.0610656272703691,0.48669907614033836,0.7487566943945175,1.0993379131727872,0.9660917830792959,0.8504350777141843,1.5794260549492707
1f2e69b81b97daf469bf44b34fa5c861,CHANGRIM AN,KR,29,16.0,21.0,5.0,24.0,14.0,11.0,21.0,27:47.00,17,16:01,230,03:37.59,14:25,05:50.00,-1667.0,17.0,-961.0,230.0,-217.59,-865.0,-350.0,-0.06368504693123615,-0.5365014705414842,0.289129296223136,-1.0165453911611235,0.2714305857058257,0.6031528782291891,-0.6204219637310744,0.9660917830792959,0.8504350777141843,0.7022861294109759
a5e7ee3358123b38d1a9a01883ee3089,RAM DOVER,IL,36,7.0,20.0,7.0,21.0,20.0,13.0,18.0,25:25.00,22,16:27,235,03:50.00,14:44,05:43.77,-1525.0,22.0,-987.0,235.0,-230.0,-884.0,-343.77,0.9012509501984112,-0.1493354608723718,0.2801913852124254,-0.8087842893179743,-0.31059162917267097,0.5303509701465248,-0.4290986774255192,0.9660917830792959,0.8504350777141843,0.8523649493908008
cefd71dd79c34dc3ae7ba5f00d862f02,SEUNGJONG KIM,KR,27,10.0,5.0,8.0,8.0,4.0,25.0,5.0,26:20.00,38,16:45,275,03:26.00,CAP +51,04:52.53,-1580.0,38.0,-1005.0,275.0,-206.0,-1385.1764705882354,-292.53,0.527508134408759,1.089595770068788,0.2740036006665489,0.8533045254272199,0.8149952489162834,-1.389996574324991,1.1444816099415145,0.9660917830792959,0.8504350777141843,1.3077956685187153
2cd8cc6b36cb7e28c61ebe604292a752,KANG KYUNGSUN,KR,31,8.0,3.0,9.0,3.0,15.0,10.0,17.0,26:02.00,39,CAP +162,290,03:38.00,14:04,05:37.00,-1562.0,39.0,-1024.0,290.0,-218.0,-844.0,-337.0,0.649823965030827,1.1670289720026104,0.2674720503125681,1.4765878309566678,0.25220180987180624,0.6836181450573969,-0.22119199230696363,0.9660917830792959,0.8504350777141843,1.4405157658101833
bad59b45fb3aa47011c9944b1236ef00,RAYMOND SABAT,LB,25,20.0,4.0,10.0,26.0,26.0,23.0,23.0,CAP +119,38,CAP +161,225,04:08.62,CAP +54,05:52.00,-1754.6218487394958,38.0,-1030.3602484472049,225.0,-248.62,-1308.2222222222222,-352.0,-0.6591038918874934,1.089595770068788,0.2652856143653709,-1.2243064930042729,-1.183859448756685,-1.0951325682137798,-0.6818419593347836,0.9660917830792959,0.8504350777141843,0.3688572348525119
1c07225b7d38a151feaeb5f4c3f20b03,EREN KIM,KR,30,17.0,6.0,11.0,5.0,13.0,15.0,16.0,28:18.00,35,CAP +155,285,03:36.44,CAP +75,05:34.34,-1698.0,35.0,-1070.2451612903226,285.0,-216.44,-941.9200000000001,-334.34,-0.27434008855813097,0.8572961642673204,0.2515745450706888,1.2688267291135185,0.3253649569475884,0.3084201008755817,-0.13950339815402943,0.9660917830792959,0.8504350777141843,1.2089433209348426
81e2edb510a1b344b45ed93d32e8f8ef,DANNY VORONOV,IL,27,18.0,15.0,12.0,11.0,12.0,17.0,7.0,28:23.00,27,CAP +150,265,03:35.00,CAP +70,05:02.00,-1703.0,27.0,-1105.92,265.0,-215.0,-1009.2,-302.0,-0.3083167081753721,0.2378305487967406,0.23931075531266768,0.43778232174092135,0.3929001696329255,0.0506247126754949,0.8536579307579498,0.9660917830792959,0.8504350777141843,1.113183022797033
d90dc14ee3b53976feb1bfa4870a45f2,RUSLAN MIFTAKHOV,RU,27,9.0,12.0,13.0,17.0,11.0,4.0,8.0,26:08.00,30,CAP +150,245,03:34.00,12:46,05:05.81,-1568.0,30.0,-1105.92,245.0,-214.0,-766.0,-305.81,0.6090520214901376,0.470130154598208,0.23931075531266768,-0.39326208563167575,0.43979962288663194,0.9824891361335976,0.7366528391328835,0.9660917830792959,0.8504350777141843,1.2760913142389085
