hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
ac7f3752415759eb9ab4c122685844f9,GABRIELA MIGAŁA,PL,24,3.0,14.0,1.0,3.0,2.0,4.0,4.0,24:34.26,37 rep,12:08.95,200.0 lb,03:15.22,12:12.75,04:17.02,-1474.26,37.0,-728.95,200.0,-195.22,-732.75,-257.02,0.37196995158752316,0.8520461033596328,0.4746070751057974,1.6516105756782302,1.5887003504210446,0.6196733546462949,1.4383223674095276,1.0,0.9156780271669763,1.9152394240538406
f1eec0c8141d91947f4acc88e18fd695,ANNIE THORISDOTTIR,IS,33,7.0,8.0,2.0,5.0,8.0,2.0,7.0,25:15.19,45 rep,12:08.97,195.0 lb,03:29.20,11:25.61,04:24.07,-1515.19,45.0,-728.97,195.0,-209.2,-685.61,-264.07,0.3564338665082604,1.3528751952472378,0.47460480136958977,1.3023452568072065,0.9490854576908112,0.6571051495211483,1.2105088507181119,1.0,0.9156780271669763,1.8161006811473142
24f153b597cb63711d1644ba223d3f38,LAURA HORVATH,HU,26,23.0,4.0,4.0,2.0,18.0,1.0,1.0,26:39.11,49 rep,12:36.59,210.0 lb,03:38.55,10:40.27,04:09.16,-1599.11,49.0,-756.59,210.0,-218.55,-640.27,-249.16,0.3245797678067767,1.6032897411910403,0.4714647716668467,2.3501412134202777,0.5213029650564978,0.6931076437855915,1.692310203039956,1.0,0.9156780271669763,2.0094203565908315
77312d4e0b39ca8390f2614b751e2ab5,EMMA TALL,SE,31,10.0,1.0,7.0,16.0,11.0,5.0,6.0,25:24.64,54 rep,13:14.86,185.0 lb,03:32.74,12:13.57,04:18.68,-1524.64,54.0,-794.86,185.0,-212.74,-733.57,-258.68,0.35284686421168004,1.9163079236207934,0.4671139774335384,0.603814619065159,0.787122888287017,0.6190222288126636,1.384681170571548,1.0,0.9156780271669763,1.791522266024462
5d5cc4fc3c7995a0d9d5a7b7f349b2d1,KARIN FREYOVÁ,SK,28,4.0,13.0,10.0,1.0,3.0,16.0,13.0,24:46.82,38 rep,13:38.14,210.0 lb,03:17.57,13:58.00,04:31.31,-1486.82,38.0,-818.14,210.0,-197.57,-838.0,-271.31,0.36720246493725345,0.9146497398455835,0.464467348487852,2.3501412134202777,1.481182825534346,0.5360989717320328,0.9765556789669279,1.0,0.9156780271669763,1.9285777761561582
aa9aae5849c39cba5e872df41c132008,MATILDE GARNES,NO,27,16.0,6.0,11.0,14.0,4.0,19.0,9.0,26:18.46,47 rep,14:03.26,185.0 lb,03:18.49,14:10.67,04:26.27,-1578.46,47.0,-843.26,185.0,-198.49,-850.67,-266.27,0.3324180320844892,1.4780824682191391,0.4616115358110632,0.603814619065159,1.4390908583446589,0.5260382835465345,1.1394181079207912,1.0,0.9156780271669763,1.7700314421658099
511b0025bbf6a1cb773f236c5386741a,MANON ANGONESE,BE,30,13.0,7.0,8.0,6.0,29.0,8.0,14.0,25:54.46,47 rep,13:16.71,195.0 lb,03:45.05,12:57.05,04:33.39,-1554.46,47.0,-796.71,195.0,-225.05,-777.05,-273.39,0.34152787918691546,1.4780824682191391,0.46690365683433216,1.3023452568072065,0.2239140664337137,0.584496678512311,0.9093426130494612,1.0,0.9156780271669763,1.6737655441731305
5fc59474362e3bf19026e152baa96e17,ELLA WUNGER,SE,25,12.0,10.0,18.0,24.0,10.0,10.0,3.0,25:52.88,41 rep,14:59.55,180.0 lb,03:31.84,13:14.55,04:16.33,-1552.88,41.0,-899.55,180.0,-211.84,-794.55,-256.33,0.34212761078782516,1.1024606493034352,0.45521210525467626,0.25454930019413524,0.8282998127117105,0.5706007003555453,1.4606190094686873,1.0,0.9156780271669763,1.6319450540349785
c21535956f001613a01860807417e219,ELISA FULIANO,IT,27,25.0,3.0,21.0,10.0,24.0,3.0,20.0,26:49.80,49 rep,15:40.30,190.0 lb,03:41.38,11:41.07,04:44.80,-1609.8,49.0,-940.3,190.0,-221.38,-701.07,-284.8,0.320522090076571,1.6032897411910403,0.45057936773162127,0.9530799379361827,0.39182441380996325,0.6448290453895141,0.5406401697233544,1.0,0.9156780271669763,1.6163587080038688
855e2fab006ab3b8aa1e1acbeacf575b,EMMA MCQUAID,IE,33,8.0,21.0,5.0,17.0,13.0,27.0,16.0,25:16.11,31 rep,12:45.52,185.0 lb,03:33.14,14:55.09,04:36.88,-1516.11,31.0,-765.52,185.0,-213.14,-895.09,-276.88,0.35608465570266745,0.47642428444392915,0.47044954845013803,0.603814619065159,0.7688220329871545,0.4907663207051898,0.7965668437937107,1.0,0.9156780271669763,1.4818106421881119
67035a730d714a0ab8e464a301bc5986,REBECKA VITESSON,SE,29,27.0,18.0,33.0,15.0,5.0,14.0,2.0,26:53.15,31 rep,CAP+2,185.0 lb,03:22.20,13:44.30,04:13.63,-1613.15,31.0,-39270.0,185.0,-202.2,-824.3,-253.63,0.3192505072518573,0.47642428444392915,-3.9070019681565227,0.603814619065159,1.2693504254384247,0.5469775374890437,1.547866739265399,1.0,0.9156780271669763,1.0380611907094464
