hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
c25e32476639ed4cd743d1069658dfd0,JEFFREY ADLER,CA,29,6.0,1.0,4.0,10.0,1.0,4.0,10.0,23:56.38,53 rep,13:13.02,285 lb,03:00.79,10:30.73,04:18.78,-1436.38,53.0,-793.02,285.0,-180.79,-630.73,-258.78,0.49992427038204124,1.7580121483908309,0.48445463247701664,1.0127842968486502,1.6473865265690817,0.25177225510822404,0.8947884206023056,1.0,0.8890316515058965,1.8246205872742038
1b309045cc3c5938ffafaf379a879b1f,JAYSON HOPPER,US,25,1.0,11.0,2.0,1.0,12.0,12.0,2.0,22:18.87,40 rep,12:15.38,305 lb,03:09.47,11:39.06,03:50.90,-1338.87,40.0,-735.38,305.0,-189.47,-699.06,-230.9,0.5267382918260245,0.8397647315974058,0.5125934149859135,2.085144140570749,1.0399724372748855,0.2476541413110479,2.090062645993753,1.0,0.8890316515058965,1.9378787663001507
fec2751c5dae50a537fb671dbfeef28b,DALLIN PEPPER,US,21,9.0,4.0,8.0,7.0,9.0,7.0,1.0,24:14.56,47 rep,13:25.60,290 lb,03:07.91,11:02.09,03:46.40,-1454.56,47.0,-805.6,290.0,-187.91,-662.09,-226.4,0.4949249994369935,1.334205648332327,0.47831330902174385,1.280874257779175,1.1491390247517226,0.24988225000534908,2.2829871084851985,1.0,0.8890316515058965,1.9276497369076835
15a40ee6a1f992312986a3165f6616d6,ROMAN KHRENNIKOV,US,28,3.0,23.0,3.0,12.0,2.0,6.0,3.0,22:55.34,35 rep,12:19.08,280 lb,03:02.97,10:47.21,03:54.82,-1375.34,35.0,-739.08,280.0,-182.97,-647.21,-234.82,0.5167095013218499,0.4865926482153193,0.5107871433814215,0.7446943359181255,1.494833218428373,0.2507790381408969,1.9220040031123156,1.0,0.8890316515058965,1.735660207008511
227c5ace724035b3c890e171999878e1,SAMUEL COURNOYER,CA,27,10.0,7.0,1.0,13.0,10.0,11.0,9.0,24:53.04,45 rep,12:04.90,280 lb,03:08.38,11:37.04,04:18.56,-1493.04,45.0,-724.9,280.0,-188.38,-697.04,-258.56,0.4843434842573763,1.1929368149794923,0.5177095572602584,0.7446943359181255,1.1162490913452399,0.24777588271116927,0.9042202832129973,1.0,0.8890316515058965,1.633021572889419
b33d96aec6ee99731fa5bd42100664e6,WILL MOORAD,US,34,11.0,3.0,20.0,6.0,6.0,2.0,18.0,24:54.90,48 rep,14:55.00,290 lb,03:06.38,09:45.16,04:29.80,-1494.9,48.0,-895.0,290.0,-186.38,-585.16,-269.8,0.48383200769204127,1.4048400650087445,0.4346698816050995,1.280874257779175,1.256206254777082,0.2545186687733392,0.42233784801214036,1.0,0.8890316515058965,1.6800715063126994
5e761ff4dedd9c3b678e318e4fbe2be6,NOAH OHLSEN,US,32,14.0,2.0,5.0,21.0,13.0,1.0,14.0,25:18.50,50 rep,13:15.73,270 lb,03:09.47,09:32.70,04:22.12,-1518.5,50.0,-795.73,270.0,-189.47,-572.7,-262.12,0.47734230503510355,1.546108898361579,0.48313166057210494,0.2085144140570761,1.0399724372748855,0.25526960830082074,0.7515955973308753,1.0,0.8890316515058965,1.56930806878196
4d8061fd75c0089b24dafd8600cd6cdd,LUKE PARKER,US,29,21.0,4.0,17.0,3.0,15.0,9.0,5.0,26:33.20,47 rep,14:39.46,300 lb,03:11.39,11:20.32,04:06.73,-1593.2,47.0,-879.46,300.0,-191.39,-680.32,-246.73,0.45680074620149114,1.334205648332327,0.44225622234396583,1.8170541796402242,0.9056135603803177,0.24878356400326332,1.4113972590516217,1.0,0.8890316515058965,1.8341903914992121
bafdff069b7a3925c0e9771e31d3fea5,ALEX VIGNEAULT,CA,31,4.0,11.0,7.0,8.0,14.0,29.0,4.0,22:57.04,40 rep,13:20.57,290 lb,03:10.85,14:26.62,03:57.58,-1377.04,40.0,-800.57,290.0,-190.85,-866.62,-237.58,0.5162420227406298,0.8397647315974058,0.4807688620408235,1.280874257779175,0.9434019945069145,0.23755563190295714,1.8036769994508945,1.0,0.8890316515058965,1.7607865800800109
6ddd9bc9796418f0a8e58508b6d9c2d9,JACK FARLOW,CA,21,13.0,25.0,16.0,2.0,11.0,5.0,15.0,25:01.02,32 rep,14:18.22,300 lb,03:08.42,10:31.05,04:24.93,-1501.02,32.0,-858.22,300.0,-188.42,-631.05,-264.93,0.48214908479964896,0.27468939818606736,0.45262519771677934,1.8170541796402242,1.1134499480766036,0.25175296934186814,0.6311249885306611,1.0,0.8890316515058965,1.6065810466904467
1475fc4176f0c930b2c62f80ccd2a21d,JAMES SPRAGUE,US,21,2.0,17.0,6.0,25.0,16.0,24.0,7.0,22:32.21,39 rep,13:15.78,265 lb,03:13.83,13:57.29,04:13.84,-1352.21,39.0,-795.78,265.0,-193.83,-837.29,-253.84,0.5230699599004502,0.7691303149209886,0.4831072514963686,-0.05957554687344858,0.7348658209934682,0.23932329292551205,1.1065766083151363,1.0,0.8890316515058965,1.431388466031393
f9f48dbb7e7720cefd927538e254652e,SPENCER PANCHIK,US,27,51.0,10.0,10.0,11.0,20.0,3.0,11.0,CAP+5,41 rep,13:39.43,285.0 lb,03:18.02,10:17.76,04:19.77,-7600.4847692307685,41.0,-819.43,285.0,-198.02,-617.76,-259.77,-1.1951268778603221,0.9103991482738232,0.47156175867306166,1.0127842968486502,0.4416555636037586,0.25255393132583526,0.8523450388541871,1.0,0.8890316515058965,1.2813420600371814
05835736aa96682014266ed8f433128c,AUSTIN HATFIELD,US,23,7.0,28.0,11.0,4.0,23.0,23.0,21.0,24:10.56,30 rep,13:58.25,295 lb,03:20.78,13:56.84,04:30.61,-1450.56,30.0,-838.25,295.0,-200.78,-836.84,-270.61,0.49602494903986427,0.13342056483323272,0.46237418256588886,1.5489642187096995,0.24851467806781685,0.23935041353444997,0.3876114447636799,1.0,0.8890316515058965,1.3913545731508439
66b91b55f244aaaa4bf77b8e862d2cce,TYLER CHRISTOPHEL,US,33,37.0,24.0,9.0,18.0,19.0,10.0,6.0,28:00.26,34 rep,13:34.09,275.0 lb,03:17.78,11:27.32,04:13.33,-1680.26,34.0,-814.09,275.0,-197.78,-687.32,-253.33,0.432860343095008,0.415958231538902,0.4741686479617068,0.4766043749876008,0.4584504232155804,0.24836168786422874,1.128441380730833,1.0,0.8890316515058965,1.4082952357050194
dde20f5b70ac77947c115768fcf60638,EVAN ROGERS,US,29,20.0,22.0,43.0,16.0,4.0,15.0,8.0,26:23.55,35 rep,CAP+10,275 lb,03:05.78,12:29.50,04:17.06,-1583.55,35.0,-5022.889351351352,275.0,-185.78,-749.5,-257.06,0.459454374618417,0.4865926482153193,-1.5804893945653915,0.4766043749876008,1.2981934038066345,0.24461422238920436,0.9685284373768126,1.0,0.8890316515058965,1.2252456610528388
2a5882a4f69cd82603df20850e59850d,GARRETT CLARK,US,24,42.0,16.0,22.0,24.0,3.0,13.0,20.0,29:35.31,39 rep,15:20.24,265.0 lb,03:05.24,11:48.90,04:30.24,-1775.31,39.0,-920.24,265.0,-185.24,-708.9,-270.24,0.40672279065679035,0.7691303149209886,0.4223481801733757,-0.05957554687344858,1.3359818379332313,0.247061103995605,0.40347412279075456,1.0,0.8890316515058965,1.3926234805912245
