hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
0eaaffa6f24dd9b8bc32edf80c4b8369,ALEX GAZAN,US,21,15.0,1.0,2.0,43.0,11.0,1.0,3.0,29:48.89,54 rep,12:26.86,165.0 lb,03:35.34,11:10.37,04:25.50,-1788.89,54.0,-746.86,165.0,-215.34,-670.37,-265.5,0.6666542231724197,2.048874344636719,0.4428435217241966,-0.795690543274089,0.9727469385929358,0.39087927431833286,1.4540245877763966,1.0,0.9529204024842298,1.692967880619503
25241743ddb9322eee0d386c10493557,KATRIN TANJA DAVIDSDOTTIR,US,30,8.0,23.0,8.0,11.0,2.0,7.0,9.0,28:46.00,26 rep,13:39.55,190.0 lb,03:19.62,12:08.36,04:34.64,-1726.0,26.0,-819.55,190.0,-199.62,-728.36,-274.64,0.6765086440646343,0.13218544158946563,0.43472279538153963,0.7847906728182805,1.7153675102512256,0.3792321650918851,1.133012620963404,1.0,0.9529204024842298,1.7037518096500062
af4fe0966a1c6c5c53418f79f5edd3b2,ARIELLE LOEWEN,US,29,20.0,2.0,5.0,14.0,10.0,6.0,11.0,CAP+5,54 rep,12:58.40,190.0 lb,03:33.35,11:53.90,04:39.04,-19186.012470588234,54.0,-778.4,190.0,-213.35,-713.9,-279.04,-2.059352568663795,2.048874344636719,0.43931995990211103,0.7847906728182805,1.0667555224097298,0.38213641064136666,0.9784773196529902,1.0,0.9529204024842298,1.473063496969573
3e8dcffed0587851c04440d9c5893530,CHRISTINE KOLENBRANDER,US,31,16.0,8.0,14.0,3.0,20.0,4.0,10.0,29:51.64,43 rep,14:17.09,205.0 lb,03:43.72,11:27.88,04:37.58,-1791.64,43.0,-857.09,205.0,-223.72,-687.88,-277.58,0.6662233175045299,1.2958894184395835,0.4305289301056648,1.7330794024737022,0.576871595686036,0.3873624458555789,1.0297549423605374,1.0,0.9529204024842298,1.8271646956878917
4c62ee9a1bc569f383c043116c7a0c99,BETHANY FLORES,US,29,6.0,5.0,16.0,26.0,14.0,9.0,2.0,28:12.87,46 rep,14:35.86,175.0 lb,03:37.14,12:13.06,04:21.26,-1692.87,46.0,-875.86,175.0,-217.14,-733.06,-261.26,0.6816998821654304,1.501248943766075,0.42843199746772737,-0.1634980568371411,0.8877140487083995,0.37828818486487525,1.6029404235846125,1.0,0.9529204024842298,1.7124668915870842
e1a8913a66581db537f011ae67c2c380,EMILY ROLFE,CA,34,2.0,30.0,19.0,41.0,3.0,10.0,1.0,27:24.47,24 rep,15:14.38,165.0 lb,03:20.70,12:16.43,04:15.28,-1644.47,24.0,-914.38,165.0,-200.7,-736.43,-255.28,0.6892838219202909,-0.004720908628195305,0.4241286492944003,-0.795690543274089,1.6643477763205041,0.3776113309574235,1.8129679467292181,1.0,0.9529204024842298,1.5483386986727374
beeee4843c631b830c661109b067419a,OLIVIA KERSTETTER,US,17,10.0,26.0,1.0,4.0,34.0,12.0,14.0,29:05.22,25 rep,12:13.50,205.0 lb,04:00.32,12:37.43,04:43.39,-1745.22,25.0,-733.5,205.0,-240.32,-757.43,-283.39,0.6734970051785099,0.06373226648063517,0.4443360640813007,1.7330794024737022,-0.20732061102691604,0.3733935469644005,0.8256981013120155,1.0,0.9529204024842298,1.5109797989790366
28664633400ffeadcd820d11ff27fca0,ABIGAIL DOMIT,US,25,21.0,20.0,26.0,9.0,4.0,16.0,15.0,CAP+6,31 rep,16:27.91,195.0 lb,03:24.30,13:24.37,04:45.15,-15988.343725490196,31.0,-987.91,195.0,-204.3,-804.37,-285.15,-1.5583003554649473,0.474451317133618,0.4159140804682129,1.1008869160367545,1.494281996551429,0.3639657955057101,0.7638839807878508,1.0,0.9529204024842298,1.389360935486891
8a7fb1e02e2b2a19cfd3bfc7054dfafb,BAYLEE RAYL,US,27,26.0,10.0,15.0,37.0,24.0,5.0,4.0,CAP+8,42 rep,14:22.33,170.0 lb,03:50.57,11:43.49,04:26.14,-11991.257794117648,42.0,-862.33,170.0,-230.57,-703.49,-266.14,-0.9319850889663878,1.227436243330753,0.4299435317560222,-0.479594300055615,0.2532742091809927,0.3842272264207652,1.4315467257676098,1.0,0.9529204024842298,1.2836130521176785
58704bfc711f2228967a38d1a0d882c8,KELLY BAKER,US,31,22.0,15.0,18.0,12.0,5.0,11.0,30.0,CAP+7,36 rep,14:55.84,190.0 lb,03:28.07,12:25.57,05:03.97,-13704.29462184874,36.0,-895.84,190.0,-208.07,-745.57,-303.97,-1.2004059174657704,0.8167171926777703,0.4261998869666091,0.7847906728182805,1.316185332737705,0.3757755906861744,0.10289435109194846,1.0,0.9529204024842298,1.3275142752717608
