hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
46678b2b4d558eede9f0f42778a3e5f8,PATRICK VELLNER,CA,33,15.0,3.0,3.0,6.0,1.0,8.0,1.0,24:58.03,54 rep,12:24.21,290.0 lb,02:56.39,10:44.87,04:08.48,-1498.03,54.0,-744.21,290.0,-176.39,-644.87,-248.48,0.2835428969971444,1.7669825110261275,0.46689215935245804,0.7129929114594643,1.9966820044133302,0.26528149779963145,1.6745357687489293,1.0,0.9539375125088382,1.9777817624798502
fe342be4ee71e457f7bf7c2863a88ca7,BRENT FIKOWSKI,CA,32,1.0,5.0,26.0,2.0,2.0,4.0,16.0,23:02.41,49 rep,14:52.86,300.0 lb,02:58.61,10:11.58,04:36.21,-1382.41,49.0,-892.86,300.0,-178.61,-611.58,-276.21,0.3517676859028245,1.3938640320764173,0.4507111330387468,0.9542473105031499,1.8609784925918857,0.2687980199196874,0.6529064501716155,1.0,0.9539375125088382,1.801547958823742
f974c9539180338c224de7f64fdf9158,SAMUEL KWANT,US,27,5.0,14.0,14.0,9.0,5.0,2.0,4.0,23:52.13,42 rep,13:27.99,285.0 lb,03:10.11,09:57.03,04:20.42,-1432.13,42.0,-807.99,285.0,-190.11,-597.03,-260.42,0.3224290204090482,0.8714981615468229,0.45994950305721083,0.5923657119376214,1.1580098502736003,0.27033497987303107,1.2346420051783142,1.0,0.9539375125088382,1.6552559742625024
88e6d3e2697fa8d612f29390e1966408,COLE GREASHABER,US,23,3.0,11.0,5.0,10.0,18.0,12.0,7.0,23:34.43,43 rep,12:33.00,285.0 lb,03:17.28,11:12.06,04:25.79,-1414.43,43.0,-753.0,285.0,-197.28,-672.06,-265.79,0.33287339649995407,0.946121857336765,0.4659353398348158,0.5923657119376214,0.719724183715157,0.26240933689712864,1.0368003376427866,1.0,0.9539375125088382,1.5762561073465853
74d5cc0b2ebbbc8c30ef8c2790397cf8,JUSTIN MEDEIROS,US,24,6.0,10.0,12.0,13.0,24.0,1.0,5.0,23:53.30,46 rep,13:09.38,285.0 lb,03:20.16,08:55.89,04:22.62,-1433.3,46.0,-789.38,285.0,-200.16,-535.89,-262.62,0.321738629447107,1.169992944706591,0.46197526087556373,0.5923657119376214,0.5436763845954475,0.27679338066666936,1.1535895529291227,1.0,0.9539375125088382,1.5996706361028556
aa2cbe8a96a72134013b5539a90d9ca3,CHANDLER SMITH,US,30,19.0,6.0,2.0,5.0,17.0,14.0,20.0,25:19.93,46 rep,12:10.53,295.0 lb,03:17.03,11:28.82,04:38.97,-1519.93,46.0,-730.53,295.0,-197.03,-688.82,-278.97,0.27062019437619306,1.169992944706591,0.4683812709567068,0.8336201109813071,0.7350061107220762,0.26063892804365496,0.5512224646226275,1.0,0.9539375125088382,1.5667206588530034
d26ef1792c6d329074e36674d31a87a3,NICK MATHEW,US,29,14.0,4.0,4.0,16.0,12.0,9.0,33.0,24:53.24,49 rep,12:26.94,280.0 lb,03:15.71,10:47.73,04:52.17,-1493.24,49.0,-746.94,280.0,-195.71,-647.73,-292.17,0.28636936939688673,1.3938640320764173,0.4665949901507329,0.4717385124157786,0.8156946853186094,0.2649793874582869,0.06490775112747657,1.0,0.9539375125088382,1.4916730450722937
23a50a2dbc1d864b783d23a8f747b42e,COLTEN MERTENS,US,25,36.0,2.0,1.0,21.0,38.0,3.0,10.0,27:20.00,56 rep,11:06.99,275.0 lb,03:34.12,10:10.17,04:27.22,-1640.0,56.0,-666.99,275.0,-214.12,-610.17,-267.22,0.19976955950415523,1.9162299026060114,0.47529780248696724,0.35111131289393577,-0.30966641947092377,0.26894696243062993,0.9841162436808115,1.0,0.9539375125088382,1.5090525645276363
aeff8a897279726d19ee6738af336c9f,COLE SAGER,US,32,18.0,12.0,6.0,24.0,32.0,5.0,3.0,25:15.64,42 rep,12:36.14,270.0 lb,03:27.78,10:32.04,04:17.56,-1515.64,42.0,-756.14,270.0,-207.78,-632.04,-257.56,0.2731516279033109,0.8714981615468229,0.4655935408262382,0.23048411337209293,0.07788324942454856,0.2666367690162226,1.340010193102264,1.0,0.9539375125088382,1.4575457489647667
86710a8ba2cd56b85ac595ba69fc8458,MITCHEL STEVENSON,US,30,7.0,8.0,24.0,42.0,9.0,22.0,8.0,24:01.88,46 rep,14:45.01,250.0 lb,03:14.27,13:11.00,04:26.10,-1441.88,46.0,-885.01,250.0,-194.27,-791.0,-266.1,0.3166757623928712,1.169992944706591,0.4515656305601906,-0.2520246847152784,0.9037185848784641,0.24984534948470905,1.0253793102804003,1.0,0.9539375125088382,1.5061022121642593
86984b7d35a97dad071f40f0dca95d32,LUIS OSCAR MORA,MX,24,30.0,18.0,39.0,7.0,7.0,7.0,12.0,26:37.11,39 rep,CAP+3,290.0 lb,03:13.03,10:39.84,04:30.71,-1597.11,39.0,-25500.0,290.0,-193.03,-639.84,-270.71,0.22507799399788148,0.6476270741769968,-2.227854489868602,0.7129929114594643,0.9795169428327842,0.2658128317216465,0.8555375807945952,1.0,0.9539375125088382,1.162324776096662
1c8b52ecd5a4b3fc4a41c679925fabe6,JOHN WOOD,US,28,11.0,6.0,13.0,17.0,41.0,34.0,2.0,24:30.57,46 rep,13:27.84,280.0 lb,03:35.58,14:59.32,04:12.53,-1470.57,46.0,-807.84,280.0,-215.58,-899.32,-252.53,0.2997464318816798,1.169992944706591,0.4599658310353275,0.4717385124157786,-0.3989128731913327,0.23840318438875063,1.5253255725629165,1.0,0.9539375125088382,1.4919745987659399
19ffcd35e40aa95eea926c126e387cd9,JACK ROZEMA,US,27,17.0,22.0,7.0,11.0,21.0,27.0,13.0,25:12.49,36 rep,12:45.13,285.0 lb,03:18.56,14:06.08,04:33.27,-1512.49,36.0,-765.13,285.0,-198.56,-846.08,-273.27,0.275010372800845,0.42375598680717075,0.4646149506711069,0.5923657119376214,0.6414807174397303,0.24402708458916447,0.7612219999955355,1.0,0.9539375125088382,1.4400056302575774
4cfccb32016f5697a5aaa94be74f601f,JUSTIN RHODES,US,25,23.0,8.0,31.0,37.0,33.0,10.0,9.0,25:46.91,46 rep,16:29.49,255.0 lb,03:28.62,10:59.48,04:26.95,-1546.91,46.0,-989.49,255.0,-208.62,-659.48,-266.95,0.25469989680937716,1.169992944706591,0.4401926495359286,-0.13139748519343555,0.02653597468129969,0.2637381998670987,0.9940635900932138,1.0,0.9539375125088382,1.3850554797231345
aeaaa94ec4b44f68c101d968249c4b7c,MAXIMILIAN KRIEG,US,28,10.0,25.0,23.0,46.0,3.0,36.0,15.0,24:30.32,34 rep,14:39.01,245.0 lb,03:07.56,CAP+1,04:35.72,-1470.32,34.0,-879.01,245.0,-187.56,-70980.71117647059,-275.72,0.299893951317992,0.27450859522728666,0.4522187496848611,-0.3726518842371212,1.3138855057441772,-7.16450346254272,0.6709590418089337,1.0,0.9539375125088382,0.30741044065218237
953f90310686e9e0079f64f4b8b9fd58,SCOTT TETLOW,US,30,27.0,1.0,8.0,51.0,40.0,6.0,46.0,26:12.99,56 rep,12:46.82,245.0 lb,03:35.29,10:32.11,05:18.33,-1572.99,56.0,-766.82,245.0,-215.29,-632.11,-318.33,0.23931066921328537,1.9162299026060114,0.4644309887843248,-0.3726518842371212,-0.38118583786330507,0.26662937470716863,-0.8988795901629132,1.0,0.9539375125088382,1.130206601515617
