hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
e6a060c337a12bf311a5e4a592966d74,VICTORIA CAMPOS,BR,30,14.0,2.0,1.0,4.0,2.0,3.0,2.0,CAP +90,46,14:14,185,3:55,12:30,5:19,-119204.0,46.0,-854.0,185.0,-235.0,-750.0,-319.0,0.025662088650956053,1.7391830468446348,0.41482170139954616,0.9423702678410867,1.3491499509799436,1.2561670958522944,1.1814743526410316,0.983192080250175,0.8567997312684941,1.8271862268606993
3a36cd8e06a2582c309b5736241b3bab,ALEXIA WILLIAMS,AR,24,2.0,7.0,5.0,6.0,5.0,6.0,1.0,CAP +102,33,16:59,185,4:04,13:45,5:10,-105180.0,33.0,-1019.0,185.0,-244.0,-825.0,-310.0,1.783789916251985,0.9846698032768242,0.3591588314196122,0.9423702678410867,1.0086004952683716,1.0362099172872665,1.344674919289365,0.983192080250175,0.8567997312684941,1.9045277180877442
6d4c9887083952e3d252768b026cf0dc,VALENTINA RANGEL,CO,26,4.0,10.0,2.0,11.0,3.0,7.0,6.0,CAP +96,29,14:29,175,4:00,15:10,5:36,-111753.75,29.0,-869.0,175.0,-240.0,-910.0,-336.0,0.9596674970640027,0.7525118821790364,0.4097614404922794,0.26758661926351807,1.1599558089179591,0.7869251149135684,0.873206615638624,0.983192080250175,0.8567997312684941,1.5885214724089791
6c93868b07c2d5c9052fe8b0b6907957,ANDREIA PINHEIRO,BR,40,1.0,6.0,3.0,18.0,1.0,13.0,3.0,29:12:00,35,15:29,170,3:34,CAP +60,5:23,-105120.0,35.0,-929.0,170.0,-214.0,-1151.7777777777778,-323.0,1.7913118550466272,1.100748763825718,0.38952039686321255,-0.06980520502526624,2.1437653476402785,0.07784834371727116,1.1089407674639946,0.983192080250175,0.8567997312684941,1.7757093466091647
2219c058e153e22efb96f65d56f92bfd,FERNANDA DOTTO,BR,32,3.0,27.0,7.0,2.0,8.0,21.0,4.0,CAP +100,0,CAP +158,190,4:14,CAP +51,5:24,-107283.6,0.0,-1085.2911392405063,190.0,-254.0,-1355.0326797385621,-324.0,1.52007074211183,-0.9306330457799254,0.3367954673931516,1.279762092129871,0.6302122111444026,-0.518249986480135,1.0908073711697353,0.983192080250175,0.8567997312684941,1.3355812463564538
053819cf0724a86a4f9dc5aeea99aff7,EMILY ANDRADE,BR,27,7.0,4.0,8.0,19.0,19.0,1.0,13.0,CAP +95,38,CAP +156,170,4:33,11:10,CAP +101,-112930.1052631579,38.0,-1099.2051282051282,170.0,-273.0,-670.0,-374.7089108910891,0.8121929588935218,1.274867204649059,0.3321015730983638,-0.06980520502526624,-0.08872552869113837,1.4907880863216574,0.17128259433133677,0.983192080250175,0.8567997312684941,1.407766763908131
6ea7febd31eef9f8c2980e025ee7cc3f,LUIZA MARQUES,BR,21,29.0,1.0,4.0,3.0,17.0,2.0,23.0,CAP +82,54,16:04,190,4:32,12:09,CAP +92,-130833.65853658537,54.0,-964.0,190.0,-272.0,-729.0,-411.36521739130427,-1.4322975732620926,2.2034988890402105,0.3777131214129235,1.279762092129871,-0.05088670027874147,1.3177551058505022,-0.4934207381208972,0.983192080250175,0.8567997312684941,1.3065573241604174
0a773b2840c8cbc7929f153deacd371a,JULIA KATO,BR,23,26.0,9.0,15.0,5.0,4.0,11.0,9.0,CAP +85,30,CAP +135,185,4:02,CAP +70,5:58,-126216.0,30.0,-1270.1925925925927,185.0,-242.0,-987.2380952380952,-358.0,-0.8534018251495584,0.8105513624534834,0.27441882765352726,0.9423702678410867,1.0842781520931652,0.5604041348294574,0.47427189716492,0.983192080250175,0.8567997312684941,1.319306322507792
353e3b96c7a06d579b2426eece163387,DELFINA ORTUÑO,AR,31,21.0,5.0,10.0,10.0,25.0,4.0,8.0,CAP +88,37,CAP +143,180,5:07,13:25,5:48,-121913.18181818182,37.0,-1199.132867132867,180.0,-307.0,-805.0,-348.0,-0.3139762416810616,1.216827724374612,0.29839087770852435,0.6049784435523023,-1.3752456947126328,1.0948651649046073,0.6556058601075128,0.983192080250175,0.8567997312684941,1.1631969545100311
f82866089a5a8f4f3b22de38d8a89784,AMANDA FUSUMA,BR,26,20.0,3.0,12.0,12.0,6.0,5.0,25.0,CAP +88,42,CAP +142,175,4:09,13:31,CAP +87,-121913.18181818182,42.0,-1207.5774647887324,175.0,-249.0,-811.0,-435.00689655172414,-0.3139762416810616,1.5070251257468468,0.2955420865488195,0.26758661926351807,0.8194063532063871,1.077268590619405,-0.9221246753985215,0.983192080250175,0.8567997312684941,1.240346874640549
