hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,score_1,score_2,score_3,score_4,score_5,score_6,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
ac3a620c899960cc9e1da1f3d8547945,ALINE WIRZ,CH,,1,2,1,1,1,1,14:27,72.5,07:49,52,08:15,01:50,-867.0,72.5,-469.0,52.0,-495.0,-110.0,1.446064138539624,0.7828813612588127,1.4872195137401671,1.4756372207043233,1.5558020109841344,1.5338449859242567,0.5773502691896257,0.8364105895290002,1.6332934133432389
3c857b182e5ae0b3e7a65e177145bf9a,JANA GEERTZ,DE,,2,1,4,7,3,4,14:45,75,10:46,0,09:12,02:12,-885.0,75.0,-646.0,0.0,-552.0,-132.0,0.915938792435485,1.1949241829739774,0.227194180190196,-1.1612402870834708,0.8531022120451833,0.5993794252688635,0.5773502691896257,0.8364105895290002,1.089414956215828
dafed208ffa16818db34f16fb6c8a539,RÉKA SIMON,HU,,5,8,2,3,2,2,15:08,65,08:52,40,09:05,02:00,-908.0,65.0,-532.0,40.0,-545.0,-120.0,0.23855640574686315,-0.45324710388668105,1.0387359204427198,0.8671270265994478,0.9393986785815458,1.1090879128990778,0.5773502691896257,0.8364105895290002,1.1962594292244124
117f9d394b2c802476990cfd7be4685d,LAURA FRANK,HU,,9,2,3,2,4,3,15:59,72.5,09:02,43,09:40,02:03,-959.0,72.5,-542.0,43.0,-580.0,-123.0,-1.2634654082148637,0.7828813612588127,0.967548048490744,1.0192545751256668,0.5079163458997337,0.9816607909915243,0.5773502691896257,0.8364105895290002,1.1246811664716925
a12df60981297322972b416cbd6f57dc,EVELIN MELER,IT,,6,2,7,5,7,8,15:26,72.5,CAP +139,30,10:40,02:53,-926.0,72.5,-720.0,30.0,-640.0,-173.0,-0.2915689403572757,0.7828813612588127,-0.2995960722544247,0.36003519817871815,-0.2317676529833728,-1.1421245741343693,0.5773502691896257,0.8364105895290002,0.7573000656826206
f9685d99b153d2a8ada88cba049f18f2,JUDITH  MELCHER ,DE,,4,8,8,7,5,5,14:48,65,CAP +137,0,10:07,02:26,-888.0,65.0,-730.5109489051094,0.0,-607.0,-146.0,0.8275845680847953,-0.45324710388668105,-0.3744212807294938,-1.1612402870834708,0.17505854640233576,0.004719523033613231,0.5773502691896257,0.8364105895290002,0.7419612783531337
912017ebbc63ae3a085931ec8fb46db7,MALIN HENRIKSSON,FI,,3,10,10,7,6,5,14:47,60,CAP +110,0,10:26,02:26,-887.0,60.0,-909.8181818181819,0.0,-626.0,-146.0,0.8570359762016918,-1.2773327473170102,-1.6508713143973834,-1.1612402870834708,-0.059174719910647954,0.004719523033613231,0.5773502691896257,0.8364105895290002,0.5201319950915118
4456329dae61e223f9237a25e0e0d6d2,SENJA MARKKANEN,FI,,7,5,5,6,9,9,15:28,70,10:51,28,11:49,02:54,-928.0,70.0,-651.0,28.0,-709.0,-174.0,-0.35047175659106894,0.37083853954364815,0.19160024421420813,0.2586168324945722,-1.0824042516989452,-1.1846002814368872,0.5773502691896257,0.8364105895290002,0.6635499296276175
888c5d38f52c4f206edee495fb4b5184,LUCA FODOR,HU,,10,5,6,7,8,7,16:20,70,11:09,0,11:14,02:36,-980.0,70.0,-669.0,0.0,-674.0,-156.0,-1.8819449786696922,0.37083853954364815,0.06346207470065172,-1.1612402870834708,-0.6509219190171331,-0.4200375499915655,0.5773502691896257,0.8364105895290002,0.48231742393622085
7356ca4c7f67632ae160fa627ba5b722,JULIETTE BOYER ,FR,,8,11,10,4,10,11,15:33,55,CAP +110,36,13:04,CAP +34,-933.0,55.0,-909.8181818181819,36.0,-784.0,-181.11111111111111,-0.49772879717555196,-2.1014183907473396,-1.6508713143973834,0.6642902952311559,-2.0070092503028283,-1.4866497555881255,0.5773502691896257,0.8364105895290002,0.1551962373437269
