hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,score_1,score_2,score_3,score_4,score_5,trans_1,trans_2,trans_3,trans_4,trans_5,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
8a66e6313450b84cd8584bb42d75654e,MARIA LUCIA NAVARRO,MX,,5,1,1,1,1,174,67,205,133,10:46,174.0,67.0,205.0,133.0,-646.0,0.4105074876727474,2.5028848297193003,1.599643705179001,2.48193564616211,0.5123324393586626,0.752772652709081,0.7788607347154802,1.9091193803438924
6189d621c013af7cb7ac2d133168cfe6,GIA GRIFFITH,US,,6,4,2,4,2,171,50,185,77,11:42,171.0,50.0,185.0,77.0,-702.0,0.27965822597705914,0.9304202301782618,0.9773566802809913,0.7893835436217599,0.4419138329064148,0.752772652709081,0.7788607347154802,1.2935664032528922
baed12e24fced607dcfa2010b5868489,MILOU BRINKEBACK,SE,,1,6,2,2,8,210,45,185,101,CAP +117,210.0,45.0,185.0,101.0,-812.2222222222223,1.9806986280210073,0.46793064207795637,0.9773566802809913,1.5147630161390528,0.3033121313178634,0.752772652709081,0.7788607347154802,1.5683778914329118
6e3003dc6021f197989b47caadbf4540,ISEL GUSTAFSSON,SE,,9,3,5,5,3,168,51,180,73,11:54,168.0,51.0,180.0,73.0,-714.0,0.1488089642813708,1.022918147798323,0.821784924056489,0.6684869648688777,0.42682413152379023,0.752772652709081,0.7788607347154802,1.2438970513600633
88107072b477bc90be80fbd66aa2d1f9,EMILIE HOVLAND,NO,,4,7,6,3,4,178,40,171,79,CAP +129,178.0,40.0,171.0,79.0,-736.6666666666666,0.5849731699336652,0.0054410539776509614,0.5417557628523847,0.849831832998201,0.39832136224549947,0.752772652709081,0.7788607347154802,1.1372291739204066
bd505f1bc666c62929a4a21dd01bd258,HERTTA VAHA,FI,,2,12,2,8,6,206,32,185,49,CAP +128,206.0,32.0,185.0,49.0,-742.421875,1.8062329457600894,-0.7345422869828377,0.9773566802809913,-0.05689250764841514,0.3910843309834334,0.752772652709081,0.7788607347154802,1.137668187978469
7176d22da9416b747b2d0c0e7cc69005,STELLA EKHOLM,SE,,8,4,7,6,4,170,50,168,61,CAP +129,170.0,50.0,168.0,61.0,-736.6666666666666,0.23604180541182967,0.9304202301782618,0.4484127091176832,0.3057972286102313,0.39832136224549947,0.752772652709081,0.7788607347154802,1.1279956876808441
64d5891ace3e7fe94be0ca9c2635871f,FLAVIA GOMES GIGLIOTTI,BR,,14,2,9,13,12,141,53,160,21,CAP +106,141.0,53.0,160.0,21.0,-896.5094339622641,-1.028834390979824,1.207913983038445,0.19949789915847937,-0.9031685589185902,0.1973230600235904,0.752772652709081,0.7788607347154802,0.7295890534581786
857b23d52c522776c0e2f745c4858efd,NENNA MÖRSKY,FI,,6,8,13,10,8,171,37,123,47,CAP +117,171.0,37.0,123.0,47.0,-812.2222222222223,0.27965822597705914,-0.2720526988825323,-0.9517330969028384,-0.11734079702485621,0.3033121313178634,0.752772652709081,0.7788607347154802,0.664716878600123
6d940d45172f2e4899bfaa14ac75c76f,IRINA ANDREO,FR,,10,8,10,9,10,165,37,155,48,CAP +116,165.0,37.0,155.0,48.0,-819.2241379310344,0.01795970258568249,-0.2720526988825323,0.04392614293397699,-0.08711665233663568,0.29450739655517316,0.752772652709081,0.7788607347154802,0.7784427789065219
