hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
bb6c34bfdc292226b6d6842b13ee7956,TUVA BJERKELI,NO,,8,1,4,4,2,1,1,196,69,198,101,06:36,01:35,10:03,196.0,69.0,198.0,101.0,-396.0,-95.0,-603.0,-0.07762671183167323,2.3730196722436223,0.824896250261285,0.6090141833048194,1.323246230957665,1.3270425903896645,1.036997530633947,0.6055300708194983,0.7979436825564211,1.439510556000695
1b8487c0464930cc3e2725e568181dad,GRY FLINK,FI,,2,3,5,1,1,3,6,216,46,180,129,06:19,02:00,11:01,216.0,46.0,180.0,129.0,-379.0,-120.0,-661.0,0.8212088988508629,0.23645747623779875,-0.17712496171254621,1.524020858709133,1.465608769502201,0.6890413450100181,0.3244985836389241,0.6055300708194983,0.7979436825564211,1.220405661080593
f3fcc6cfcb809bb8c5c36e3ded2d3c96,CLAUDIA ETHEL RAMIREZ FIGUEROA,MX,,3,7,1,2,4,3,7,212,39,211,127,08:31,02:00,CAP +131,212.0,39.0,211.0,127.0,-511.0,-120.0,-720.0,0.6414417767143556,-0.4138005834161475,1.5485782366868297,1.4586632390373964,0.3602055290387438,0.6890413450100181,-0.40028482795946113,0.6055300708194983,0.7979436825564211,1.1339129347554988
66a054ceb8e6f7b3ee459556d4120da2,MONA HOLMAN,FI,,4,2,8,5,7,2,5,200,59,178,92,08:52,01:51,10:23,200.0,59.0,178.0,92.0,-532.0,-111.0,-623.0,0.102140410304834,1.4440795870236989,-0.28846065193186077,0.31490489478200423,0.18434592260137564,0.9187217933466908,0.7913082385666976,0.6055300708194983,0.7979436825564211,1.0978575532173878
16d050be01cb63844fee27424d251f9f,CLAUDIA VALDEZ,MX,,4,5,2,8,5,6,1,200,42,206,69,08:45,02:18,10:03,200.0,42.0,206.0,69.0,-525.0,-138.0,-603.0,0.102140410304834,-0.13511855785017055,1.2702390111385433,-0.4367077314429678,0.2429657914138317,0.2296804483366727,1.036997530633947,0.6055300708194983,0.7979436825564211,0.9977856388419664
0299c88761aeaaa6b883f690be4097f0,JOANNIE GAGNON,CA,,1,13,3,3,3,11,4,243,31,202,104,08:12,02:55,10:16,243.0,31.0,202.0,104.0,-492.0,-175.0,-616.0,2.0346369732722867,-1.156952651592086,1.0475676306999142,0.7070506128124244,0.519316601529696,-0.714561394825204,0.8772994907902348,0.6055300708194983,0.7979436825564211,1.0846498236987268
e055863ffcd00f118cbc5d9eb3c942ed,TILDE LARDINGER,SE,,4,9,7,9,5,12,3,200,36,179,65,08:45,03:02,10:05,200.0,36.0,179.0,65.0,-525.0,-182.0,-605.0,0.102140410304834,-0.6924826089821244,-0.2327928068222035,-0.5674229707864412,0.2429657914138317,-0.8932017435315049,1.012428601427222,0.6055300708194983,0.7979436825564211,0.7089856640889457
4a5c0fad3ec9edf953a816cdd3584104,ANNIE MELIN,SE,,4,8,10,10,8,5,8,200,38,161,48,CAP +226,02:07,CAP +130,200.0,38.0,161.0,48.0,-553.8571428571429,-127.0,-725.5384615384615,0.102140410304834,-0.5066945919381398,-1.2348140187960346,-1.1229627379962033,0.0013083730441145797,0.5104009963037172,-0.4683218626857764,0.6055300708194983,0.7979436825564211,0.5627433955864275
618f76eb3f56bb689b1d30af5ca3b40d,LIV MALM,SE,,9,5,9,6,11,7,9,186,42,165,74,CAP +165,02:25,CAP +119,186.0,42.0,165.0,74.0,-758.6164502164502,-145.0,-792.6050420168068,-0.5270445171729413,-0.13511855785017055,-1.0121426383574055,-0.27331368226362607,-1.7134007320318803,0.05104009963037171,-1.2921988966405686,0.6055300708194983,0.7979436825564211,0.3738841466371213
e915e5489c799f8ca53a138c525e5248,KENDRA  VARGAS MURILLO,CR,,10,4,5,11,10,9,11,161,43,180,24,CAP +168,02:44,CAP +116,161.0,43.0,180.0,24.0,-745.0697278911566,-164.0,-813.1034482758621,-1.6505890305261115,-0.04222454932817821,-0.17712496171254621,-1.9072541740570437,-1.5999568626679548,-0.43384084685815955,-1.5440108427552768,0.6055300708194983,0.7979436825564211,0.16170447703753854
ca873d085b18a1262aeb762405dfa920,ALEXA VAINIO,FI,,10,12,11,7,9,13,10,161,33,155,73,CAP +185,CAP +45,CAP +118,161.0,33.0,155.0,73.0,-676.603861003861,-240.0,-799.322033898305,-1.6505890305261115,-0.9711646345481014,-1.5688210894539785,-0.3059924920994944,-1.0266054148016188,-2.373364632812285,-1.374713545649906,0.6055300708194983,0.7979436825564211,-0.004059342824268897
