hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,score_1,score_2,score_3,score_4,score_5,score_6,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
58ebf023556b4e54524114386c42bfd5,JESSICA BEMLAR,SE,,2,3,4,1,7,3,1315,CAP +133,155,261,02:46,CAP +2991,1315.0,133.0,155.0,261.0,-166.0,-961.9859578736208,1.104428884620414,1.0327836904021137,0.5449883505954145,1.2140259385069467,0.4836641424119012,1.8347319432922022,0.7745966692414834,0.8400213982360948,1.6423257711576316
018c0842047c09782177b0c1caa583f0,LISA LINDSKOG,SE,,6,10,1,2,2,1,1216,CAP +60,175,260,02:12,14:41,1216.0,60.0,175.0,260.0,-132.0,-881.0,0.3541077742911809,-0.1671082363780609,1.551120690156179,1.2038855826400674,0.943087211916267,2.1037084194672655,0.7745966692414834,0.8400213982360948,1.6131723398683868
33a7b3fd1056570153708ad767fa2499,JOHANNA GÖRANSSON,SE,,2,4,4,4,4,2,1315,CAP +132,155,257,02:33,CAP +3197,1315.0,132.0,155.0,257.0,-153.0,-900.0,1.104428884620414,1.016346814692796,0.5449883505954145,1.1734645150394292,0.6593259042812175,2.040604232253709,0.7745966692414834,0.8400213982360948,1.6842231565377914
ecd21b7cab8e359e21efaf38173d1039,MARIANNE FLANNERY,US,,9,5,1,12,5,8,1214,CAP +131,175,142,02:41,CAP +1706,1214.0,131.0,175.0,142.0,-161.0,-1686.5767878077374,0.3389497720623075,0.9999099389834787,1.551120690156179,0.00732359034830183,0.5512263585154844,-0.5718320243598558,0.7745966692414834,0.8400213982360948,1.2114015551534845
06d34757e41bdc09386cec9c3a5df5f1,LINDA JAMES-OLSEN,NO,,4,1,9,6,6,16,1218,CAP +148,145,198,02:44,CAP +1701,1218.0,148.0,145.0,198.0,-164.0,-1691.5343915343915,0.36926577652005427,1.2793368260418756,0.04192218081503233,0.5751835188935465,0.5106890288533344,-0.5882975798176139,0.7745966692414834,0.8400213982360948,1.1225038614577487
9b7c1c3db4629e2ca448869e40cb73ab,EVELYN LOBO CORDERO,CR,,6,13,4,8,3,6,1216,CAP +4,155,195,02:32,CAP +1707,1216.0,4.0,155.0,195.0,-152.0,-1685.5887521968366,0.3541077742911809,-1.0875732760998387,0.5449883505954145,0.5447624512929083,0.6728383475019342,-0.5685504883512269,0.7745966692414834,0.8400213982360948,0.8994811374164071
59f32e528146661d93a21ddd6fd9d859,CHRISTINA LUZZI,CH,,1,11,4,14,11,5,1415,CAP +16,155,0,03:15,CAP +2258,1415.0,16.0,155.0,0.0,-195.0,-1274.269264836138,1.8623289960640836,-0.8903307675880291,0.5449883505954145,-1.4326069427485684,0.09180328901111864,0.7975538240168674,0.7745966692414834,0.8400213982360948,0.9657302720302992
78ce1b38bfa575666a73789bac12b781,ISSELA FELIX,MX,,12,16,3,7,1,12,1116,CAP +2,170,196,02:04,CAP +1704,1116.0,2.0,170.0,196.0,-124.0,-1688.556338028169,-0.4037923371524889,-1.1204470275184735,1.2995876052659878,0.5549028071597877,1.0511867576820002,-0.5784066510813689,0.7745966692414834,0.8400213982360948,0.9436922744795733
5f7da7c0ae5c96111961c51dd68c2f9b,SONIA ASHKENAZY,CH,,13,2,16,2,17,4,1115,CAP +147,125,260,CAP +41,CAP +2321,1115.0,147.0,125.0,260.0,-241.9375,-1239.68117190866,-0.41137133826692557,1.262899950332558,-0.9642101587457321,1.2038855826400674,-0.5424370146612687,0.9124303235671559,0.7745966692414834,0.8400213982360948,1.0286611643090264
dd5447b2e3e777a6a2172bd444a3a6c9,LIISA PAAJASTE,FI,,11,8,4,11,9,8,1210,CAP +103,155,143,03:07,CAP +1706,1210.0,103.0,155.0,143.0,-187.0,-1686.5767878077374,0.3086337676045607,0.5396774191225898,0.5449883505954145,0.017463946215181197,0.19990283477685178,-0.5718320243598558,0.7745966692414834,0.8400213982360948,0.97413432890129
a0789a5e9eaf2e25eaf7ff5cd043e7c8,ANITA PAUS,NO,,5,12,9,5,12,8,1217,CAP +15,145,205,03:28,CAP +1706,1217.0,15.0,145.0,205.0,-208.0,-1686.5767878077374,0.3616867754056176,-0.9067676432973466,0.04192218081503233,0.646166009961702,-0.08385847285819768,-0.5718320243598558,0.7745966692414834,0.8400213982360948,0.7738342850336731
9d47badf29a18b5a3f80ea320a68a19e,MICHELLE TOOLE,CA,,8,5,17,10,15,12,1215,CAP +131,120,170,03:52,CAP +1704,1215.0,131.0,120.0,170.0,-232.0,-1688.556338028169,0.3465287731767442,0.9999099389834787,-1.2157432436359232,0.2912535546209241,-0.4081571101553971,-0.5784066510813689,0.7745966692414834,0.8400213982360948,0.7671299489810346
df90404974995e3f239cb43bf9418a83,BETH SMITH,US,,18,5,13,9,14,12,1006,CAP +131,135,178,03:41,CAP +1704,1006.0,131.0,135.0,178.0,-221.0,-1688.556338028169,-1.2374824597405256,0.9999099389834787,-0.46114398896534986,0.3723764015559591,-0.259520234727514,-0.5784066510813689,0.7745966692414834,0.8400213982360948,0.6897151756292486
260783f3f5c551a272733c9c72bcbff6,SARA ABBATE,IT,,9,16,15,14,13,6,1214,CAP +2,130,0,03:38,CAP +1707,1214.0,2.0,130.0,0.0,-218.0,-1685.5887521968366,0.3389497720623075,-1.1204470275184735,-0.712677073855541,-1.4326069427485684,-0.21898290506536408,-0.5685504883512269,0.7745966692414834,0.8400213982360948,0.36050543683723224
a2b19921020f05d2d2f3c34807cae5e6,BIRGIT RYNINGEN,NO,,14,13,12,14,10,11,1114,CAP +4,140,0,03:12,CAP +1705,1114.0,4.0,140.0,0.0,-192.0,-1687.565982404692,-0.4189503393813623,-1.0875732760998387,-0.20961090407515878,-1.4326069427485684,0.13234061867326857,-0.5751174096775853,0.7745966692414834,0.8400213982360948,0.3763583854805396
31524ee9646bd89a6a880dcda4c61622,SANDRA SOMMER,DE,,16,18,9,14,8,17,1011,CAP +1,145,0,02:58,CAP +1696,1011.0,1.0,145.0,0.0,-178.0,-1696.5212264150944,-1.1995874541683422,-1.136883903227791,0.04192218081503233,-1.4326069427485684,0.32151482376330154,-0.6048602199184018,0.7745966692414834,0.8400213982360948,0.3222678789223573
1f47a5289ab14f8bb824932c33045976,LÍVIA HUDÁKNÉ FARKAS,HU,,15,9,18,14,16,15,1111,CAP +102,110,0,03:55,CAP +1702,1111.0,102.0,110.0,0.0,-235.0,-1690.5405405405404,-0.44168734272467236,0.5232405434132724,-1.7188094134163054,-1.4326069427485684,-0.448694439817547,-0.5849967293345424,0.7745966692414834,0.8400213982360948,0.3102548129179923
f9b6dfab6f3214ceaecc71cdc7293c78,IOANNA KASTORI,GR,,19,18,19,13,18,18,809,CAP +1,105,78,CAP +21,CAP +1654,809.0,1.0,105.0,78.0,-472.35416666666663,-1739.6009673518743,-2.730545679284555,-1.136883903227791,-1.9703424983064965,-0.6416591851319777,-3.655929140101394,-0.747939800822933,0.7745966692414834,0.8400213982360948,-0.5650066168640114
