,hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,trans_8,trans_9,trans_10,trans_11,trans_12,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,zscore_8,zscore_9,zscore_10,zscore_11,zscore_12,small_num_adjust,compscore,avg-z_mul-sna_plus-cs,sna1,cs1,rp1,sna2,cs2,rp2,sna3,cs3,rp3,rp
0,24f153b597cb63711d1644ba223d3f38,LAURA HORVATH,HU,26,9.0,1.0,27.0,2.0,1.0,15.0,13.0,8.0,1.0,1.0,1.0,4.0,7 rep,13:50.40,CAP+5,16:36.18,04:36.18,09:06.79,19:02.68,08:32.50,470 lb,08:41.22,08:36.46,07:41.20,7.0,-830.4,-2772.0,-996.18,-276.18,-546.79,-1142.68,-512.5,470.0,-521.22,-516.46,-461.2,1.568929081105472,0.5736725836447619,-1.7736055164286326,0.8461805752843621,0.8996744440111945,0.4024947425937152,0.4247944831817321,0.6162109678999289,2.159788996279606,1.8608462415583296,1.566417850112196,1.1228639859851577,1.0,,,1.0,0.975443416453986,139.50010681557984,1.0,0.9701309726309825,50.92656137711845,0.7958224257542215,0.8770983143373432,52.10324089386973,242.529909086568
1,5298863b1dde5c3cd28412d28e22ccd0,EMMA LAWSON,CA,18,1.0,15.0,13.0,4.0,9.0,5.0,7.0,1.0,7.0,6.0,10.0,9.0,7 rep,17:13.59,05:16.28,17:35.41,CAP+4,08:44.92,18:31.60,07:48.64,433 lb,09:49.49,10:06.92,08:21.07,7.0,-1033.59,-316.28,-1055.41,-4317.192,-524.92,-1111.6,-468.64,433.0,-589.49,-606.92,-501.07,1.568929081105472,0.5702460980656064,0.7821585227163957,0.8283974044995432,-1.917627039827112,1.0674694468134038,0.8175890963344237,1.9810967377218696,0.7085990532588056,0.8582254247967959,0.2514886130566089,0.2609787529818065,1.0,,,1.0,0.975443416453986,145.87056686828709,1.0,0.9701309726309825,53.48064837673372,0.7958224257542215,0.8770983143373432,31.017691706486094,230.3689069515069
2,af4fe0966a1c6c5c53418f79f5edd3b2,ARIELLE LOEWEN,US,29,12.0,2.0,14.0,13.0,17.0,4.0,3.0,3.0,13.0,3.0,6.0,11.0,6 rep,14:43.54,05:22.78,CAP+12,CAP+12,08:42.74,18:21.21,08:11.96,422 lb,09:38.84,09:28.97,08:28.94,6.0,-883.54,-322.78,-3989.6486666666665,-1439.064,-522.74,-1101.21,-491.96,422.0,-578.84,-568.97,-508.94,-0.3922322702763685,0.5727764596048174,0.7753937179933643,-0.0525762124640307,0.0889382178550175,1.1337540766807512,0.9488997794314764,1.2553982390386131,0.2771642053337024,1.0146325098782418,0.8031309361415027,0.0908499146638638,1.0,,,1.0,0.975443416453986,132.9785748019578,1.0,0.9701309726309825,44.932126180806165,0.7958224257542215,0.8770983143373432,34.585102146151456,212.4958031289154
3,ac7f3752415759eb9ab4c122685844f9,GABRIELA MIGAŁA,PL,24,7.0,17.0,22.0,15.0,7.0,27.0,5.0,4.0,5.0,8.0,13.0,3.0,7 rep,17:26.22,CAP+5,CAP+14,CAP+3,09:26.85,18:27.44,08:17.58,436 lb,10:36.84,11:10.51,07:40.61,7.0,-1046.22,-2772.0,-3419.698857142857,-5756.256,-566.85,-1107.44,-497.58,436.0,-636.84,-670.51,-460.61,1.568929081105472,0.5700331126191537,-1.7736055164286326,0.1185450909554674,-2.920909668668177,-0.2074454753599651,0.870163922290509,1.0805086351535398,0.8262631026929246,0.1628380559135577,-0.6728575088134431,1.1356182445121692,1.0,,,1.0,0.975443416453986,53.47011871578724,1.0,0.9701309726309825,47.39440481691601,0.7958224257542215,0.8770983143373432,26.076337424181894,126.94086095688513
4,0eaaffa6f24dd9b8bc32edf80c4b8369,ALEX GAZAN,US,21,18.0,6.0,19.0,3.0,2.0,8.0,19.0,11.0,19.0,2.0,3.0,16.0,6 rep,16:13.39,CAP,17:25.97,05:50.32,08:53.66,19:39.65,08:38.26,416 lb,08:59.04,09:16.53,09:15.83,6.0,-973.39,-420.0,-1045.97,-350.32,-533.66,-1179.65,-518.26,416.0,-539.04,-556.53,-555.83,-0.3922322702763685,0.5712612781033305,0.6742130541205776,0.8312316630207096,0.8479857254397644,0.8017228114736653,-0.04243900614436,0.4369646834910287,0.0418361064654643,1.5991397386333193,0.983959144288436,-0.9227893774235992,1.0,,,1.0,0.975443416453986,153.11404601009326,1.0,0.9701309726309825,27.889622514209,0.7958224257542215,0.8770983143373432,32.9383873431697,213.94205586747196
5,129f82680a30cffd3d4302a651f3aa7c,ALEXIS RAPTIS,US,24,5.0,3.0,5.0,5.0,37.0,3.0,4.0,12.0,22.0,13.0,8.0,13.0,7 rep,15:14.94,04:13.51,17:45.74,CAP+29,08:40.85,18:26.55,08:39.20,404 lb,11:23.88,09:45.72,08:43.46,7.0,-914.94,-253.51,-1065.74,-595.4747586206897,-520.85,-1106.55,-519.2,404.0,-683.88,-585.72,-523.46,1.568929081105472,0.5722469470934464,0.847485721557116,0.8252959330457669,0.6770694140721933,1.191221026428131,0.881411901882077,0.4077126856881856,-0.4288200912710116,-0.5279966184743511,0.5596524404452712,-0.223034549424641,1.0,,,1.0,0.975443416453986,192.2484770337674,1.0,0.9701309726309825,31.422478451601656,0.7958224257542215,0.8770983143373432,20.65826216576711,244.32921765113613
6,25241743ddb9322eee0d386c10493557,KATRIN TANJA DAVIDSDOTTIR,US,30,4.0,34.0,6.0,34.0,9.0,19.0,2.0,9.0,20.0,9.0,7.0,2.0,7 rep,CAP+6,04:17.56,CAP+15,CAP+4,09:13.31,18:20.13,08:35.32,412 lb,10:47.96,09:33.93,07:33.41,7.0,-35371.30434782609,-257.56,-3191.718933333333,-4317.192,-553.31,-1100.13,-515.32,412.0,-647.96,-573.93,-453.41,1.568929081105472,-0.0088064292929592,0.8432707278450734,0.1869936123232667,-1.917627039827112,0.2042489688620117,0.962549013093152,0.5284549744914031,-0.1150492927800276,-0.0004715014672576,0.7310322293562317,1.2912634333163855,1.0,,,1.0,0.975443416453986,112.16115699566114,1.0,0.9701309726309825,35.719563439145624,0.7958224257542215,0.8770983143373432,35.33589959525811,183.21662003006486
7,8c8305d031301875eb4419ec87d9c289,EMMA CARY,US,19,40.0,4.0,17.0,39.0,16.0,2.0,12.0,2.0,8.0,11.0,5.0,5.0,5 rep,15:38.84,06:17.68,CAP+30,CAP+11,08:38.61,18:59.97,08:01.67,428 lb,11:12.24,09:27.72,07:42.54,5.0,-938.84,-377.68,-1595.8594666666663,-1569.888,-518.61,-1139.97,-481.67,428.0,-672.24,-567.72,-462.54,-2.353393621658209,0.5718439105003965,0.7182571365634528,0.6661332618978617,-0.0022692938578064,1.2593300039065085,0.4590439491290874,1.575614257539929,0.5124923042019405,-0.3570502832304043,0.8213009731337588,1.0938966869577054,1.0,,,1.0,0.975443416453986,111.87603160126866,1.0,0.9701309726309825,45.47952857303253,0.7958224257542215,0.8770983143373432,32.26086306790146,189.61642324220264
8,48dec38d3d76cc5e0770b642a6cc94f3,DANIELLE BRANDON,US,27,21.0,21.0,1.0,20.0,17.0,11.0,11.0,10.0,26.0,7.0,2.0,8.0,6 rep,17:45.91,03:12.75,CAP+14,CAP+12,08:56.63,18:42.71,08:37.85,382 lb,09:58.90,08:48.42,08:20.26,6.0,-1065.91,-192.75,-3419.698857142857,-1439.064,-536.63,-1122.71,-517.85,382.0,-598.9,-528.42,-500.26,-0.3922322702763685,0.5697010711749212,0.9107210346296372,0.1185450909554674,0.0889382178550175,0.7114176047277808,0.6771789241295836,0.4497235335965223,-1.2916897871212178,0.720029117696664,1.392566936170291,0.2784888367222809,1.0,,,1.0,0.975443416453986,130.99585412983953,1.0,0.9701309726309825,22.880046570815292,0.7958224257542215,0.8770983143373432,37.784782673541855,191.66068337419668
9,dfccf401d70c98e753f44df398c94aee,PAIGE POWERS,US,20,14.0,20.0,3.0,19.0,28.0,7.0,24.0,17.0,10.0,4.0,4.0,10.0,6 rep,17:43.40,03:56.62,CAP+14,CAP+16,08:50.70,20:12.60,08:50.10,426 lb,09:41.97,09:18.73,08:26.31,6.0,-1063.4,-236.62,-3419.698857142857,-1079.298,-530.7,-1212.6,-530.1,426.0,-581.97,-558.73,-506.31,-0.3922322702763685,0.5697433984489194,0.865063806445116,0.1185450909554674,0.3397588750652837,0.8917239602843753,-0.4588670146186538,0.068513987761621,0.4340496045791944,0.9686649815866996,0.9519798791820648,0.1477036433520707,1.0,,,1.0,0.975443416453986,137.42105599411184,1.0,0.9701309726309825,24.617412463459242,0.7958224257542215,0.8770983143373432,35.644442223888234,197.6829106814593
