compname,gender,catg,compweight,num_tests,num_athletes,small_num_adjust,compscore
if3-masters-worlds-23,F,30-34,75,6,19,0.7958224257542215,0.7500238656717926
if3-masters-worlds-23,F,35-39,75,6,20,0.816496580927726,0.8067438895381592
if3-masters-worlds-23,F,40-44,75,6,21,0.8366600265340756,0.8547937766291548
if3-masters-worlds-23,F,45-49,75,6,18,0.7745966692414834,0.8400213982360948
if3-masters-worlds-23,F,50-54,75,6,12,0.6324555320336759,0.8343187314994163
if3-masters-worlds-23,M,30-34,75,6,19,0.7958224257542215,0.9068769594267043
if3-masters-worlds-23,M,35-39,75,6,30,1.0,0.8249047636863078
if3-masters-worlds-23,M,40-44,75,6,26,0.9309493362512627,0.803837288652266
if3-masters-worlds-23,M,45-49,75,6,26,0.9309493362512627,0.8030407263058932
if3-masters-worlds-23,M,50-54,75,6,15,0.7071067811865476,0.8255141828236494
if3-masters-worlds-23,M,55-59,75,6,11,0.6055300708194983,0.9019256624623457
if3-masters-worlds-23,M,60-64,75,6,11,0.6055300708194983,0.8106065757107965
if3-masters-worlds-23,M,65+,75,6,4,0.3651483716701107,0.6896719369918094
cf-quarter-24,F,35-39,50,4,2825,1.0,0.9206536264094912
cf-quarter-24,F,40-44,50,4,2279,1.0,0.9347511734629241
cf-quarter-24,F,45-49,50,4,1365,1.0,0.8759940858553641
cf-quarter-24,F,50-54,50,4,761,1.0,0.8598882566897192
cf-quarter-24,F,55-59,50,4,464,1.0,0.88869226426369
cf-quarter-24,F,60-64,50,4,258,1.0,0.8725928993823409
cf-quarter-24,F,65+,50,4,92,1.0,0.8248457990769049
cf-quarter-24,M,35-39,50,4,3626,1.0,0.9251805754054697
cf-quarter-24,M,40-44,50,4,2855,1.0,0.9077851360779914
cf-quarter-24,M,45-49,50,4,1919,1.0,0.9210895374438232
cf-quarter-24,M,50-54,50,4,1230,1.0,0.9200242809379748
cf-quarter-24,M,55-59,50,4,797,1.0,0.9159396523452796
cf-quarter-24,M,60-64,50,4,397,1.0,0.9066221738375759
cf-quarter-24,M,65+,50,4,209,1.0,0.870171369606868
